horizon,beta,theta,irf_normal,irf_fragile,se_beta,se_theta,pval_beta,pval_theta,nobs
-5,1.1745701990542834,-0.7215099666228895,1.1745701990542834,0.4530602324313939,0.9578965508645537,1.111608471458623,0.22012442347746375,0.5162941457240044,2174
-4,0.9245073493426625,-0.5537387043901232,0.9245073493426625,0.37076864495253936,0.7614186553002692,0.8740721486162266,0.22467496152386957,0.5263967259981573,2175
-3,0.08046425771052057,0.22209957242976408,0.08046425771052057,0.30256383014028465,0.15712480648644114,0.32294105932063166,0.6085781548038305,0.4916163537371533,2176
-2,-0.016214714324443543,0.4015609620014843,-0.016214714324443543,0.38534624767704073,0.11562392274853563,0.1992436044023463,0.888472996786885,0.04385991615446843,2177
-1,0.02750006342924837,-0.43325417546878087,0.02750006342924837,-0.4057541120395325,0.13233416984600968,0.20478227144010658,0.8353790967523812,0.03437185838137013,2177
0,-0.25999545015668524,1.9031350368472095,-0.25999545015668524,1.6431395866905243,0.2663665804608998,0.4716782635026863,0.32902415504048077,5.4645086734801297e-05,2178
1,0.24568658524703565,1.0283302532334755,0.24568658524703565,1.274016838480511,0.4892264408707998,0.6969497974159448,0.6155310602080042,0.14008555893084562,2177
2,0.10646540139740512,0.8404523981580123,0.10646540139740512,0.9469177995554174,0.5420852215284995,0.7354328072382869,0.8442972927716049,0.2531217596304053,2176
3,-0.15234479021268038,1.0832750981297885,-0.15234479021268038,0.9309303079171081,0.49843671574860116,0.6929795320183822,0.759874800841626,0.11800233885229654,2175
4,-0.3663077480170097,1.3548407029918887,-0.3663077480170097,0.988532954974879,0.5327026466876749,0.713723968247863,0.49167939411391637,0.05766054115177178,2174
5,-0.38329737749995113,1.2780662312080762,-0.38329737749995113,0.8947688537081251,0.6260879624640763,0.8006716101738232,0.5403987564784607,0.11043461248578983,2173
6,-0.21063123977337916,1.6417658084260491,-0.21063123977337916,1.43113456865267,0.7154032142462725,0.9512200475426723,0.768434609293525,0.0843549770191518,2172
7,-0.532656046369351,2.129470271814535,-0.532656046369351,1.5968142254451838,0.7910958732511971,1.0142062688132254,0.5007474518040922,0.03576032845503871,2171
8,-0.5986564065160139,2.303048757942763,-0.5986564065160139,1.7043923514267494,0.8109459007326265,1.0136795886610377,0.46038082843527284,0.023088373434651817,2170
9,-0.4861826868375038,2.1177662589788238,-0.4861826868375038,1.6315835721413199,0.7634116677813806,1.010529294116716,0.5242191694855173,0.03610881034926336,2169
10,-0.6342619975945207,1.8309133973752338,-0.6342619975945207,1.196651399780713,0.8086856345106167,1.0482847524754728,0.4328569509370541,0.0807101834430476,2168
11,-0.7272370808398707,2.001336401894167,-0.7272370808398707,1.2740993210542964,0.8430407707463307,1.0632477363638426,0.3883377854784793,0.0597971849837233,2167
12,-0.6629769594008116,1.619763725704541,-0.6629769594008116,0.9567867663037294,0.8241846809208181,1.0674678370919657,0.4211640383423729,0.12916855345657433,2166
13,-0.23674383899397045,1.2036047426760692,-0.23674383899397045,0.9668609036820988,0.902391985846897,1.1281962488585848,0.7930505052512877,0.2860441499444918,2165
14,-0.3487502048201865,1.2944602492734543,-0.3487502048201865,0.9457100444532678,1.000049665562636,1.2140556724899418,0.7272898537834636,0.28632055136773105,2164
15,-0.4826794457867293,1.4111792372355918,-0.4826794457867293,0.9284997914488625,1.0582422358714236,1.268558615418535,0.6483077677963411,0.26595447151693785,2163
