horizon,beta,theta,nobs,irf_p0,se_irf_p0,ci95lo_irf_p0,ci95hi_irf_p0,irf_p5,se_irf_p5,ci95lo_irf_p5,ci95hi_irf_p5,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9
-5,-0.018389500759321463,-0.9717694063402557,2174,-0.018389500759321463,0.1236724683622774,-0.26078753874938515,0.2240085372307422,-0.5042742039294493,0.5496688238828235,-1.5816250987397833,0.5730766908808845,-0.8929819664655515,1.008052362178903,-2.8687645963362014,1.0828006634050986
-4,0.056882268423090826,0.00792282526534837,2175,0.056882268423090826,0.12589441004762458,-0.18987077527025334,0.303635312116435,0.060843681055765014,0.5823834815304365,-1.0806279427438905,1.2023153048554207,0.06401281116190435,1.0737165328242653,-2.0404715931736557,2.168497215497464
-3,-0.061507194393841266,2.107837622999729,2176,-0.061507194393841266,0.18157128607260034,-0.41738691509613796,0.2943725263084554,0.9924116171060233,0.9171780109149026,-0.8052572842871857,2.7900805184992326,1.835546666305915,1.6439536718326409,-1.386602530486061,5.057695863097891
-2,-0.0028564375327062214,-0.37152915076493076,2177,-0.0028564375327062214,0.09744486988722284,-0.193848382511663,0.18813550744625054,-0.1886210129151716,0.43795133986160434,-1.047005639043916,0.6697636132135728,-0.3372326732211439,0.7783110767597161,-1.8627223836701874,1.1882570372278995
-1,-0.06174932955459321,-0.6256877159907709,2177,-0.06174932955459321,0.13846858616037713,-0.3331477584289324,0.20964909931974596,-0.37459318754997867,0.47873988649175137,-1.3129233650738112,0.563736989973854,-0.6248682739462871,0.8499752927992239,-2.2908198478327657,1.0410832999401918
0,0.1477736671429761,1.4552430059254706,2178,0.1477736671429761,0.42083499057694307,-0.6770629143878323,0.9726102486737845,0.8753951701057114,0.9016281999053208,-0.8917961017087173,2.64258644192014,1.4574923724758997,1.3996711779496587,-1.2858631363054314,4.20084788125723
1,0.2923411302740109,1.9777866581397092,2177,0.2923411302740109,0.3694502147999761,-0.4317812907339422,1.016463551281964,1.2812344593438656,1.1858324896275565,-1.042997220326145,3.6054661390138762,2.072349122599749,2.0800350963266356,-2.0045196662004567,6.149217911399955
2,-0.18761083916732824,2.189384810068235,2176,-0.18761083916732824,0.14440999288795006,-0.47065442522771034,0.09543274689305387,0.9070815658667893,1.0469796557159365,-1.1449985593364462,2.9591616910700247,1.7828354898940835,1.936686009095793,-2.013069087933671,5.578740067721838
3,0.18351252701951798,0.8256584007059606,2175,0.18351252701951798,0.3102659586043947,-0.42460875184509567,0.7916338058841317,0.5963417273724982,0.9385353783009789,-1.2431876140974203,2.4358710688424168,0.9266050876548826,1.6429917660255673,-2.2936587737552294,4.146868949064994
4,-0.2962852643001361,-0.10885853310999309,2174,-0.2962852643001361,0.13678932087404105,-0.5643923332132565,-0.028178195387015603,-0.3507145308551326,0.6146679342983228,-1.555463682079845,0.85403462036958,-0.39425794409912984,1.1292817291174833,-2.607650133169397,1.8191342449711374
5,-0.1243074486744393,1.6864478374508416,2173,-0.1243074486744393,0.2009107408777936,-0.5180925007949148,0.2694776034460361,0.7189164700509815,0.8218983368310807,-0.8920042701379366,2.3298372102398996,1.393495605031318,1.4453868947738593,-1.4394627087254461,4.226453918788082
