horizon,beta,theta,irf_normal,irf_fragile,se_beta,se_theta,pval_beta,pval_theta,nobs
-5,-0.09415961292678432,0.02088914455887053,-0.09415961292678432,-0.07327046836791379,0.12073312120060224,0.3254046213600197,0.4354504615246687,0.9488154604951272,2174
-4,0.1667762797559367,-0.3205613132239148,0.1667762797559367,-0.1537850334679781,0.15167519970167734,0.33853804457396464,0.27152302413094687,0.3436902816524786,2175
-3,-0.23975654813608754,0.8759833997232052,-0.23975654813608754,0.6362268515871177,0.1094093294723528,0.30336844438261784,0.028424879000705273,0.0038828805761349904,2176
-2,-0.035012518690427666,0.015079338911730257,-0.035012518690427666,-0.019933179778697407,0.1030197358173729,0.25733266744482824,0.733960270138096,0.9532718107476295,2177
-1,-0.10627756490622142,-0.18028018889543554,-0.10627756490622142,-0.28655775380165693,0.11481551550814595,0.22133511722963617,0.35463431598765194,0.41535149387310577,2177
0,-0.34776063631773607,1.6816086676348914,-0.34776063631773607,1.3338480313171552,0.12759928342377688,0.5440545906051681,0.006422126593450182,0.001995627671225152,2178
1,0.012701197047676884,1.1622564096340189,0.012701197047676884,1.1749576066816958,0.18168356676083908,0.5993264436837198,0.944266612865233,0.052468344539779804,2177
2,-0.09496232744112196,0.13068261556819433,-0.09496232744112196,0.03572028812707237,0.13535697677944986,0.35506612990215575,0.48294767374135505,0.7128348466445137,2176
3,-0.09660618259401921,0.9488191325973586,-0.09660618259401921,0.8522129500033394,0.12988639285181577,0.49795737735488654,0.4570129296706694,0.05672518795613329,2175
4,-0.3406950374056385,0.09823058400395478,-0.3406950374056385,-0.2424644534016837,0.15414753455488886,0.29645387412083174,0.027092114613444355,0.7403786174978901,2174
5,-0.27122713809322974,0.7286719587727464,-0.27122713809322974,0.45744482067951664,0.14763864934535825,0.3811286790356496,0.06619495884866675,0.05589170200219134,2173
6,-0.14916467989113408,1.491535823935574,-0.14916467989113408,1.34237114404444,0.15746299215742926,0.5044154017921937,0.3434859715404067,0.0031068910382675177,2172
7,-0.22053957307783245,0.21767931827632947,-0.22053957307783245,-0.0028602548015029816,0.17615725811162602,0.3950290638115888,0.21058913098513032,0.5816019110830131,2171
8,0.14787043977205938,-0.11017290722465638,0.14787043977205938,0.037697532547403004,0.2797017634165385,0.394238717648936,0.5970331303469127,0.7798938645569955,2170
9,-0.07079750630046991,1.4669718907104559,-0.07079750630046991,1.3961743844099859,0.18537151216754802,0.6470489151343956,0.7025190308053058,0.02337965380160245,2169
10,-0.17880256382412302,0.16160248995732363,-0.17880256382412302,-0.017200073866799392,0.15059225457581563,0.3123992341754826,0.23509783998831224,0.6049504044778742,2168
11,-0.15957771072139243,-0.011962174183574377,-0.15957771072139243,-0.1715398849049668,0.14610051346677924,0.32744654449790916,0.27472496057713314,0.9708584141843473,2167
12,-0.050829602061867624,-0.009632397819049471,-0.050829602061867624,-0.06046199988091709,0.20758561809760745,0.37647205003361484,0.8065641345283575,0.9795875868086086,2166
13,0.12656251917082736,-0.5930882294869004,0.12656251917082736,-0.46652571031607304,0.3029589845158006,0.39493023234770597,0.6761265240380359,0.13316053882170828,2165
14,-0.06317144676992456,0.9636195431115616,-0.06317144676992456,0.900448096341637,0.23492824203479687,0.4015448711696912,0.7880091183535588,0.01640490659727736,2164
15,-0.025629571377487295,-0.34897687619764406,-0.025629571377487295,-0.37460644757513134,0.27067552453432436,0.336641448380819,0.9245630978404675,0.2999024383626969,2163
