horizon,beta,theta,irf_normal,irf_fragile,se_beta,se_theta,pval_beta,pval_theta,nobs
-5,-0.05843029100289239,-0.9656233044967546,-0.05843029100289239,-1.024053595499647,0.2855840815848426,0.6346051278793973,0.8378852356777022,0.12810612090199702,2174
-4,0.7201139097854049,-1.566092275285774,0.7201139097854049,-0.8459783655003691,0.43111141856403334,0.7975952981118175,0.09484694751954016,0.04958608042478753,2175
-3,-0.4646946148419757,2.610681600376053,-0.4646946148419757,2.145986985534077,0.24850656229575566,0.885585326243501,0.061490890791246595,0.0031986503611458363,2176
-2,-0.09278681164914188,0.3037675602457024,-0.09278681164914188,0.21098074859656052,0.2715935967934274,0.9015539137099029,0.7326230079705431,0.7361638161840286,2177
-1,-0.07276396643027522,-0.8574026346509593,-0.07276396643027522,-0.9301666010812346,0.19057620058995714,0.6921430654268652,0.7026020389003687,0.21543252289621428,2177
0,-0.5880708639575165,4.053900140868289,-0.5880708639575165,3.465829276910773,0.3031169542391653,1.1660327032133002,0.052370079099083644,0.0005076997643896447,2178
1,0.24633690915276418,3.519815343735949,0.24633690915276418,3.766152252888713,0.6051646888932442,1.6652112084197879,0.6839656553679451,0.03453790069498871,2177
2,-0.17508843612607425,0.2062083862393104,-0.17508843612607425,0.03111995011323615,0.3380063850029205,0.8274267679940118,0.6044559394944609,0.8031933326419172,2176
3,-0.033257057949944324,2.3235510099041994,-0.033257057949944324,2.290293951954255,0.3837546777150713,1.3384656862535702,0.9309399543471177,0.08256719289941983,2175
4,-0.7905479277234608,0.22360564224962523,-0.7905479277234608,-0.5669422854738356,0.3611793785335164,0.5100598118909694,0.028611680927545156,0.6611028534847105,2174
5,-0.5666943891343654,2.690947251814152,-0.5666943891343654,2.1242528626797865,0.31937626311139805,0.7617137335656313,0.07600055624043807,0.0004112549292017735,2173
6,-0.16082892661217557,4.189122990086645,-0.16082892661217557,4.028294063474469,0.4025345422604827,1.113179443870467,0.6894948520998706,0.00016774925459955053,2172
7,-0.5051609000834161,0.4366329563103818,-0.5051609000834161,-0.06852794377303428,0.35879213345856426,0.7601227897586945,0.15914627568144923,0.5656807531916493,2171
8,0.6882092743340316,-0.43046884582393824,0.6882092743340316,0.2577404285100933,0.7340487316870625,1.0286750107363845,0.3484743960718272,0.6756040747211283,2170
9,-0.1379175454492365,3.7603604631952647,-0.1379175454492365,3.622442917746028,0.4610109643106859,1.3674995015627265,0.7648154764541519,0.00596302738654062,2169
10,-0.2750999466910129,0.5513325405871701,-0.2750999466910129,0.2762325938961572,0.3658724490713666,0.5867207106073514,0.45211045476560807,0.34737925802498393,2168
11,-0.1630896301846394,-0.5139649205167681,-0.1630896301846394,-0.6770545507014075,0.3274660495542891,0.623115340150549,0.6184592092214789,0.40946747922870685,2167
12,-0.0010207218516094102,0.11277587677166213,-0.0010207218516094102,0.11175515492005272,0.40965059388129493,0.6637213207374393,0.9980119219263504,0.8650773770932771,2166
13,0.7221686462992295,-1.8040403334992903,0.7221686462992295,-1.0818716872000609,0.7831307762120879,1.0899652793710584,0.35644727532447285,0.09789699554302529,2165
14,0.046655406817886824,3.1325615900397943,0.046655406817886824,3.179216996857681,0.4530028150993172,0.8895719324848095,0.9179697742350914,0.0004292327083481244,2164
15,0.33045167042400614,-1.4077995916308035,0.33045167042400614,-1.0773479212067973,0.6502655076827085,0.7560634492540663,0.6113273907465488,0.06260132862509782,2163
