date,max_shock,breadth,countries,n_countries,emfi_pre_mean,emfi_post_mean,emfi_post_max,emfi_delta,p_stress_on_day,p_stress_peak,tci_pre_mean,tci_post_max,category
2017-05-23,0.5658534115530663,8,Bulgaria; Finland; Ireland; Italy; Portugal; Romania; Sweden; United Kingdom,8,-0.2952726944186818,-0.9396452820620758,-0.5017712970636423,-0.6443725876433939,0.0017858050477804,0.0050451503925451,68.79216557518342,68.67693408692452,Absorbed
2017-06-05,1.5642335795669116,16,Austria; Belgium; Bulgaria; Finland; France; Germany; Greece; Hungary; Ireland; Norway; Poland; Portugal; Romania; Spain; Sweden; United Kingdom,16,-0.8789030879876638,-0.7030670395459325,-0.2823586136690663,0.1758360484417312,5.276235334887519e-06,0.0014618060189231,67.81316074830656,68.29790387493102,Localized
2017-06-19,0.1376626628793263,3,Austria; Portugal; Spain,3,-0.7619841666034729,-0.8077566302736848,-0.4152672950537863,-0.0457724636702119,0.0012094167921019,0.0018314673381493,68.525343177277,68.9805846706458,Absorbed
2017-07-10,0.1376626628793263,1,Austria,1,-0.6226479935516531,-0.6447068642697061,0.805111831937191,-0.022058870718053,5.266925299109227e-06,1.0,67.67414351673541,67.92394413479347,Systemic
2017-08-17,0.268274747227346,1,Spain,1,-0.6125597363630042,-0.8036889698590624,-0.3667007792585206,-0.1911292334960581,9.693999457636333e-06,0.0064678592676548,65.08329982625402,65.12869842237832,Absorbed
2017-08-18,0.33937758234411,3,Bulgaria; France; Italy,3,-0.6425896227964838,-0.8459912723201679,-0.3667007792585206,-0.2034016495236841,1.0084192457452927e-05,0.0064678592676548,64.95449297755103,65.12869842237832,Absorbed
2017-08-24,0.3403336233620081,4,Austria; Finland; Norway; Portugal,4,-0.8204361897408482,-0.6524404401143746,-0.2480190479447465,0.1679957496264735,0.005059070432879,0.0090171906884099,64.85632474482671,65.40257478624363,Localized
2017-09-06,0.3346381750534202,1,Bulgaria,1,-0.7397207858894734,-0.9530076451843342,-0.2107074210442034,-0.2132868592948608,1.3437765942725672e-05,0.0699457130429422,64.43155700938331,64.34717954455317,Absorbed
2017-10-30,0.2108023797038388,1,Greece,1,-1.0062358726508347,-1.6244242475284458,-1.323613522462206,-0.6181883748776111,0.0020480702508655,0.0033773481042106,58.69189365780359,58.91836423220318,Absorbed
2017-11-01,0.1376626628793263,1,Austria,1,-1.0360049894380507,-1.7955785531529584,-1.514409662538497,-0.7595735637149077,0.0033773481042106,0.0033773481042106,58.80851398262208,57.874351347341246,Absorbed
2017-11-20,0.1790885241890666,1,Croatia,1,-1.7131115255344536,-2.164514597798622,-2.015291718528748,-0.4514030722641686,7.830372585618102e-06,9.637720550782007e-06,56.8140320720647,55.81922969747063,Absorbed
2017-11-27,0.2986860250319799,1,Sweden,1,-2.142334595882372,-1.963025330256802,-1.2056845930241225,0.1793092656255697,9.637720550782007e-06,0.9153518384583448,55.4443438540013,55.07245524836982,Localized
2017-12-25,0.1376626628793263,1,Austria,1,-1.979779481912881,-2.3887691073134283,-2.1973445546255173,-0.4089896254005476,3.748883972415267e-05,7.180877773331625e-05,52.79316230532917,53.95202993388093,Absorbed
2018-01-29,0.1352113406675552,1,Portugal,1,-1.5792493364592397,-0.663803801871129,0.6974491697578651,0.9154455345881104,7.029112282259396e-06,1.0,53.193191020381576,57.14011730910883,Systemic
2018-02-05,0.3346381750534202,1,Bulgaria,1,-1.1976765007815455,2.7023278210047903,4.376941292967512,3.900004321786336,1.0,1.0,53.36992672470975,76.47716965485162,Systemic
2018-03-05,0.33937758234411,1,Bulgaria,1,1.1201503383642986,0.4960734047972741,0.9353318399343524,-0.6240769335670244,0.397493323876145,0.8048452285004989,75.16482026473273,75.15590421486066,Systemic
2018-03-26,0.33937758234411,2,Bulgaria; France,2,1.3749378115606767,0.4323636315875976,1.102464998472256,-0.9425741799730792,0.0182775309643811,0.0324451560018684,76.90457598908004,78.94011927286421,Absorbed
2018-04-09,0.3346381750534202,1,Bulgaria,1,1.356768400176031,0.6617825487917472,0.9381072582609488,-0.6949858513842837,0.0635374685944099,0.0635374685944099,79.34014875302285,80.78164171698043,Absorbed
2018-04-16,1.210052036341206,4,Austria; France; Greece; United Kingdom,4,0.7014717544022531,0.6699269233224456,1.0286299542595214,-0.0315448310798074,2.7652032778864792e-05,0.0900405543758417,80.30633000511412,80.17252490529657,Absorbed
2018-04-25,0.1352113406675552,1,Portugal,1,0.6349387717540796,0.5464125205434909,1.2382324843877033,-0.0885262512105887,0.0297246724084807,0.0297246724084807,80.01781357553101,80.26562790651204,Absorbed
2018-05-07,0.33937758234411,1,Bulgaria,1,0.3766310715287188,0.0721301372842083,0.2972507440602736,-0.3045009342445104,9.029149161181652e-07,0.0007155863418949,80.02729254014545,79.99982469295392,Absorbed
2018-05-14,0.1065570063839025,1,France,1,0.0779728197917118,-0.0472622777305854,0.1636469343596612,-0.1252350975222972,0.0007155863418949,0.0007155863418949,79.58042411211599,77.77493360546998,Absorbed
2018-09-03,0.1009735672286535,1,Poland,1,-1.2291659037498956,-0.9229050907908476,-0.4468209269629529,0.3062608129590481,2.7042443049280725e-06,0.0024388973264982,56.44478869209595,57.4554314973687,Localized
2018-10-08,0.1352113406675552,1,Portugal,1,-1.2271050463585054,0.2320451019833545,2.3042354170766286,1.45915014834186,0.0848631009576811,1.0,58.793163355913,64.30508398561237,Systemic
2018-11-12,0.5103059716336195,4,Belgium; Croatia; France; United Kingdom,4,-0.4462647852794691,-0.5674526230162364,-0.0965078640492967,-0.1211878377367673,0.0085499485180881,0.0085499485180881,67.4962559210678,66.09431974068369,Absorbed
2018-12-12,0.1065570063839025,1,France,1,1.3631931313641448,0.4530260357290697,1.801368780478758,-0.9101670956350753,0.9999999999820376,0.9999999999820376,72.0797020423072,73.72731534453945,Systemic
2018-12-17,0.1117235113698668,1,Greece,1,0.906571542197162,0.8516335547575465,2.3527604666405946,-0.0549379874396155,0.0001198109867711,1.0,73.1774779966088,73.72731534453945,Systemic
2019-01-14,0.1201393840374711,1,Italy,1,0.1549970027970482,0.3755588388385423,1.5474796556876678,0.2205618360414941,0.0046239499533585,0.999998215645974,74.82082611868091,74.60988353412489,Systemic
2019-02-11,0.1352113406675552,1,Portugal,1,0.6534515402677086,0.3116440673977928,1.0558178374174267,-0.3418074728699157,0.0063523801388807,0.9913390246985878,72.98217031736834,72.79214877510675,Systemic
2019-04-19,0.1398272554245024,1,Ireland,1,-0.6759723635623607,-0.6870031896761338,-0.5447780377850547,-0.0110308261137731,1.0586234761090969e-05,1.0586234761090969e-05,72.84588319137515,74.12972051244144,Absorbed
2019-05-06,0.3505410211887677,1,Netherlands,1,-0.8137902853132364,0.2249946518738473,1.335643993056893,1.0387849371870836,0.0017064951581098,0.9999999989811386,71.78751259650761,71.75736655540757,Systemic
2019-07-22,0.4219838701014251,1,Sweden,1,-0.5297012315791383,-0.5734810444315892,-0.3155987158169211,-0.0437798128524509,1.3717931107214982e-05,0.0374017150367288,68.02403123818061,68.46096933834464,Absorbed
2019-08-12,0.2763490326083275,1,Sweden,1,0.3742330393557591,0.2132828182493755,1.9424337238909224,-0.1609502211063835,1.8124921097839377e-05,1.0,70.41163193853575,70.1014008684108,Systemic
2019-08-26,0.1065570063839025,1,France,1,-0.1468009295202516,-0.0558387193250339,0.2776616416881907,0.0909622101952177,2.854590220537013e-05,0.0097591976574832,69.93249673216322,70.37782398335816,Localized
2019-09-02,0.4537592904993424,2,Poland; Romania,2,-0.0785871117132585,-0.283356640428199,0.113721579732614,-0.2047695287149405,2.825149804792696e-05,0.010021119599015,70.18032410491897,70.3760848431414,Absorbed
2019-11-18,0.1065570063839025,1,France,1,-0.5289898147901883,-0.5001909178138619,-0.3663162057067762,0.0287988969763263,1.3918952471838784e-05,1.811239020246649e-05,67.79860237510249,68.58764697651405,Localized
2019-12-30,0.0888161632050663,1,Poland,1,-0.657573170596755,-0.5976610502111042,0.4336067988829064,0.0599121203856508,2.5103873870893423e-06,0.0478916039348175,71.25347134578847,72.3331878421697,Localized
2021-03-03,0.3346381750534202,1,Bulgaria,1,0.3301596065152106,0.2345862871406859,0.8268447846360085,-0.0955733193745246,0.0003916204527322,0.0007222049086552,79.6573747565842,79.5611169045764,Absorbed
2021-04-26,0.2108023797038388,1,Greece,1,-0.7031313831068854,-1.018158023998359,-0.8937212282003036,-0.3150266408914736,9.231593910240686e-06,9.758356062918813e-06,64.9286024748008,65.13839137841767,Absorbed
2021-05-04,0.3505410211887677,1,Netherlands,1,-1.018158023998359,-0.3558187869606556,0.5360026337604986,0.6623392370377033,0.0036775761816935,0.9954486890312468,64.7785371705132,64.53371570650197,Localized
2021-05-17,0.1013707140823827,1,Norway,1,-0.6556924210271642,-0.7957500205193136,-0.2684228563245021,-0.1400575994921494,7.651035696395289e-06,0.005816322790857,60.93649828883018,61.04101861457637,Absorbed
2021-08-16,0.1799305681714586,3,Croatia; Finland; Spain,3,-0.5633408025536764,0.0386378059224274,1.0366326491576965,0.6019786084761038,2.3661392756960306e-05,0.9934076646026164,67.72437947260394,68.44851961593088,Systemic
2021-09-06,0.0727671824996629,1,United Kingdom,1,-0.2936381878881897,-0.2786576194665436,-0.0495388598557014,0.014980568421646,1.1307503124817084e-05,1.6932175976845925e-05,67.71430232980956,68.90597333573557,Localized
2021-09-13,0.1896597137603531,2,Germany; Hungary,2,-0.279482373516536,0.2057637332731783,2.202126973822662,0.4852461067897144,1.2029325964074612e-05,1.0,68.36656845612424,71.41711006498048,Systemic
2021-11-11,0.1065570063839025,1,France,1,-0.6721113301615403,-0.8068978766405037,-0.6373510284255466,-0.1347865464789633,8.638740113315351e-06,1.2976921387279203e-05,68.11410681865479,68.24196146876659,Absorbed
2021-11-15,0.2015095194412945,1,United Kingdom,1,-0.8043063341658737,-0.6119406437384335,-0.2110241520265349,0.1923656904274402,6.338673174819333e-06,0.004000658366408,67.83041097884886,68.24196146876659,Localized
2021-11-18,0.1790885241890666,1,Croatia,1,-0.8670609817730404,-0.4872063030485914,-0.2110241520265349,0.3798546787244489,1.2976921387279203e-05,0.004000658366408,67.94503806850881,67.99583066001462,Localized
2021-12-27,0.1352113406675552,1,Portugal,1,0.5042197315434791,0.069289499172988,0.6155451663434238,-0.434930232370491,0.006380558942394,0.0183251415314844,75.75939965826775,76.15913563832777,Absorbed
2022-02-21,0.1352113406675552,1,Portugal,1,1.7659126351877927,3.7840151662927553,7.323491684133085,2.0181025311049625,1.0,1.0,78.26091309633004,85.21297092851938,Systemic
