date,EMFI,VolStress_std,TailVolBreadth_std,AvgCorr60_std,tci_w100_std
2017-05-19,0.018572475220970067,0.3377698738185208,0.3357285139717839,-0.43189606214894616,-0.18285636023236898
2017-05-22,-0.6091178640583337,-0.5432220232189964,-0.03299751019379929,-0.4423939000411453,-0.15528105837806488
2017-05-23,-0.5017712970636423,-0.29886762646560483,-0.03299751019379929,-0.462269707268288,-0.18032020462761367
2017-05-24,-0.7713722899762473,-0.5204486588989651,-0.03299751019379929,-0.7166520295972748,-0.22162111543261367
2017-05-25,-1.092699622365663,-0.7805159272491471,-0.40172353435938246,-0.7116638419130962,-0.25862220883470005
2017-05-26,-1.0021928856690354,-0.6208339622685936,-0.40172353435938246,-0.692995001356941,-0.2668626420539293
2017-05-29,-0.8512172822362157,-0.6340422568047812,-0.03299751019379929,-0.7169907933831479,-0.26049314086458514
2017-05-30,-0.9807443300632166,-0.5442959072019228,-0.40172353435938246,-0.7314639871836703,-0.2656843566095512
2017-05-31,-0.9458954840220377,-0.4525809372182422,-0.40172353435938246,-0.7575196952285034,-0.266688151757015
2017-06-01,-0.6869769442673999,-0.31218084614846486,-0.03299751019379929,-0.7199252056932229,-0.27155595229856555
2017-06-02,-0.929681399349449,-0.46993598855315405,-0.40172353435938246,-0.7156945112496346,-0.2588845399712802
2017-06-05,-0.9784453479605362,-0.6071752570421587,-0.40172353435938246,-0.6940523829509585,-0.2324594196205588
2017-06-06,-0.8266789573977089,-0.26729551052185835,-0.40172353435938246,-0.7464123593113319,-0.23655653140461017
2017-06-07,-1.0383519656367963,-0.6804374074827892,-0.40172353435938246,-0.7467378691187029,-0.2198144118348107
2017-06-08,-0.8830058270697027,-0.340598392921201,-0.40172353435938246,-0.7974716948107873,-0.21833039389593709
2017-06-09,-0.48493983395638873,-0.15116586043201427,0.3357285139717839,-0.8552911949673103,-0.23316113398732635
2017-06-12,-0.28235861366906634,0.20791623164982945,0.3357285139717839,-0.8480932188543904,-0.2173296776608016
2017-06-13,-0.9152120500164276,-0.34488554969094687,-0.40172353435938246,-0.8693090945595883,-0.20388804279006614
2017-06-14,-1.054162295802998,-0.5478658254406638,-0.40172353435938246,-0.9446449357275205,-0.18789809514280575
2017-06-15,-0.6419671177659412,-0.18002172070577796,-0.03299751019379929,-0.8855919978278717,-0.14992537651741059
2017-06-16,-0.9162207557629316,-0.3239473285738424,-0.40172353435938246,-0.8806874476041198,-0.21656843911615356
2017-06-19,-0.41526729505378634,0.22767588987156173,-0.03299751019379929,-0.8593516694811604,-0.15747556215685526
2017-06-20,-0.6286928253809768,-0.1902703453281796,-0.03299751019379929,-0.8485902310536759,-0.1506709900422146
2017-06-21,-0.9965884596818637,-0.5479437361134432,-0.40172353435938246,-0.8446360270168057,-0.17576780563594696
2017-06-22,-0.9485499855284374,-0.5028925017266344,-0.40172353435938246,-0.7987961682488169,-0.17493006781594297
2017-06-23,-0.7816518634276719,-0.5138093909268595,-0.03299751019379929,-0.7692148240018865,-0.1947186951691452
2017-06-26,-0.6833000173494743,-0.35692868945373235,-0.03299751019379929,-0.7228529316272354,-0.21297334134084564
2017-06-27,-0.604232740019105,-0.19136045576686322,-0.03299751019379929,-0.7255472648102117,-0.22837861773974097
2017-06-28,-0.9776658574438666,-0.5492696500090416,-0.40172353435938246,-0.7214930229691082,-0.26451494302975714
2017-06-29,0.8803791342888071,0.5457106333668877,2.1793586347996996,-0.6112911254915778,-0.16750977250511195
2017-06-30,-0.923204837654725,-0.5172533397296988,-0.40172353435938246,-0.6511477934715498,-0.26224145440064506
2017-07-03,0.3881246379696206,0.3546369583551346,1.4419065864685332,-0.6239608264394055,-0.2677239901697669
2017-07-04,-0.9511389502801606,-0.5689126346584152,-0.40172353435938246,-0.6591191414990796,-0.25484153470673865
2017-07-05,-0.6686520908385476,-0.3028381553725819,-0.03299751019379929,-0.6615331758144802,-0.3054603422682355
2017-07-06,-0.8996917141839186,-0.42559425474824414,-0.40172353435938246,-0.6615099973729135,-0.3024536207248705
2017-07-07,-0.9818818504252597,-0.6222592267702,-0.40172353435938246,-0.6580820292606204,-0.2606966323320335
2017-07-10,-0.8520209430208205,-0.36794118450167596,-0.40172353435938246,-0.6486549900293647,-0.28151019647942477
