,count,mean,std,min,25%,50%,75%,max
EMFI,2179.0,2.8695622187649753e-16,1.5277312779979404,-2.74258547986069,-0.9121806967300417,-0.24666290657954704,0.5482931298227005,15.217183197856912
VolStress_std,2179.0,-6.5217323153749445e-18,1.0,-1.1863379041836954,-0.47803923485607674,-0.24849067946010775,0.1279633145112558,17.88682737982889
TailVolBreadth_std,2179.0,-2.445649618265604e-18,1.0,-0.40172353435938246,-0.40172353435938246,-0.40172353435938246,-0.03299751019379929,6.604070924786698
AvgCorr60_std,2179.0,3.9130393892249664e-17,1.0,-2.1554763190058006,-0.6395825159689895,-0.14812651697790025,0.6042484126538634,3.1274359505150424
tci_w100_std,2179.0,4.9565165596849575e-16,1.0,-2.323118949885628,-0.6361823417802882,-0.04995891405554398,0.6931844139431446,2.347649866350402
