date,tci_w60,tci_w100,tci_w150,tci_w200
2017-03-24,69.31956261831833,,,
2017-03-27,69.94659749095192,,,
2017-03-28,70.32216502494902,,,
2017-03-29,70.61255229098713,,,
2017-03-30,69.07656063844921,,,
2017-03-31,68.85229584775298,,,
2017-04-03,69.18892269882708,,,
2017-04-04,68.75022293149338,,,
2017-04-05,69.58346606589217,,,
2017-04-06,69.88271144072526,,,
2017-04-07,70.09933579762645,,,
2017-04-10,70.7657547164484,,,
2017-04-11,71.00980828794793,,,
2017-04-12,71.95401858230068,,,
2017-04-13,72.44748906506277,,,
2017-04-14,73.00740981352546,,,
2017-04-17,74.15474861069849,,,
2017-04-18,75.77271861925743,,,
2017-04-19,74.09823853761027,,,
2017-04-20,73.86588219034704,,,
2017-04-21,72.3571917992996,,,
2017-04-24,82.11538358495348,,,
2017-04-25,78.61725756784845,,,
2017-04-26,77.8923886262892,,,
2017-04-27,77.69707171349587,,,
2017-04-28,77.55315027955125,,,
2017-05-01,77.74292563919758,,,
2017-05-02,77.54010052941979,,,
2017-05-03,77.49062522898497,,,
2017-05-04,77.34871719002318,,,
2017-05-05,76.95776633866359,,,
2017-05-08,76.30693721663867,,,
2017-05-09,76.46991965146063,,,
2017-05-10,76.30439880586933,,,
2017-05-11,76.09126655462542,,,
2017-05-12,76.15392187897963,,,
2017-05-15,76.09326098526829,,,
2017-05-16,76.41721445978227,,,
2017-05-17,76.08524445844782,,,
2017-05-18,76.37605675186109,,,
2017-05-19,76.4882097491849,68.65096020732734,,
2017-05-22,77.30456473474973,68.93337094303949,,
2017-05-23,74.67398681756748,68.67693408692452,,
2017-05-24,74.23557997320849,68.25395338239231,,
2017-05-25,74.34896288739624,67.8750089898686,,
2017-05-26,73.95382717073038,67.79061510651874,,
2017-05-29,75.28505402934734,67.8558479560631,,
2017-05-30,74.7732590949572,67.80268244347788,,
2017-05-31,74.41294987226551,67.79240213802203,,
2017-06-01,73.9969054200427,67.74254886209044,,
2017-06-02,74.58616020990021,67.87232234187928,,
2017-06-05,74.12729224077027,68.14295356539078,,
