,count,mean,std,min,25%,50%,75%,max
tci_w60,2219.0,73.37362120892931,8.253684643153647,52.884675761710554,67.20143176163907,72.83349606054965,78.53347496802633,94.42322050539829
tci_w100,2179.0,70.5236722267901,10.24143768957755,46.73159425605961,64.00825041423775,70.01202112145128,77.62287720957514,94.56698204996279
tci_w150,2129.0,70.27830073873577,10.464959188763586,44.09827023746962,63.845511215255016,69.00361105381072,77.31910825866804,94.5944605953728
tci_w200,2079.0,70.5361185127766,10.335359841653291,46.45623973078199,64.31188367976371,67.7953669723523,78.7932916138194,94.49391509322845
