date,tci_w250
2017-12-18,57.01167466187067
2017-12-19,57.069459791774676
2017-12-20,57.012936425599904
2017-12-21,56.88481188480626
2017-12-22,56.784682148547596
2017-12-25,57.08380033572008
2017-12-26,57.392019417389974
2017-12-27,57.326700046888604
2017-12-28,57.562997391081936
2017-12-29,57.6038251552021
2018-01-01,58.03884570750255
2018-01-02,58.11093034543431
2018-01-03,57.937678091781045
2018-01-04,58.37283272923383
2018-01-05,58.10508960164752
2018-01-08,58.183067130345236
2018-01-09,58.30878369393977
2018-01-10,58.08691116981175
2018-01-11,58.01778299886537
2018-01-12,58.281530594394916
2018-01-15,57.25524677322489
2018-01-16,57.350065000207216
2018-01-17,57.47253832848246
2018-01-18,57.528685081837615
2018-01-19,57.54338744014609
2018-01-22,57.38513249876917
2018-01-23,57.329149516706416
2018-01-24,57.25974835109952
2018-01-25,56.96319281409825
2018-01-26,56.976696494239874
2018-01-29,56.92988301129059
2018-01-30,57.22886736897582
2018-01-31,57.29720766910984
2018-02-01,57.1053938330248
2018-02-02,57.3067554431676
2018-02-05,57.70036525660471
2018-02-06,62.32321137000909
2018-02-07,64.37315649175858
2018-02-08,64.40790560312279
2018-02-09,64.71360611352922
2018-02-12,64.99070283258774
2018-02-13,65.10024876212579
2018-02-14,63.51031293966256
2018-02-15,63.60133415747422
2018-02-16,63.7589901309369
2018-02-19,63.68978475736038
2018-02-20,63.79010586390253
2018-02-21,63.713627129910535
2018-02-22,63.86737411319117
2018-02-23,63.86357618557172
2018-02-26,63.89555176780857
2018-02-27,63.99949074024471
2018-02-28,63.92259236119647
2018-03-01,63.914114365179366
2018-03-02,64.06775223944238
2018-03-05,63.97050694079145
2018-03-06,63.89835612528867
2018-03-07,63.95956003876952
2018-03-08,64.14551711890407
2018-03-09,64.22013654678459
2018-03-12,64.2477985599282
2018-03-13,64.22793405134794
2018-03-14,64.2290156561208
2018-03-15,64.53915589438432
2018-03-16,64.60238571189655
2018-03-19,64.78822279229433
2018-03-20,64.77406487049943
2018-03-21,64.67453172755123
2018-03-22,65.51277050711569
2018-03-23,65.4578388831607
2018-03-26,65.32206064811662
2018-03-27,65.30413439146979
2018-03-28,65.37248915006316
2018-03-29,65.26734529369179
2018-03-30,65.1907511796074
2018-04-02,65.14625333008641
2018-04-03,65.10598056756885
2018-04-04,65.09091592882524
2018-04-05,67.39620831606956
2018-04-06,66.96617441051266
2018-04-09,65.16453439204092
2018-04-10,65.33576675497734
2018-04-11,65.36609637529835
2018-04-12,65.64005667214886
2018-04-13,65.81014550506508
2018-04-16,65.12796769995076
2018-04-17,64.9859723231614
2018-04-18,65.03096195971864
2018-04-19,65.25941548661955
2018-04-20,65.24207668486243
2018-04-23,65.25508981050574
2018-04-24,65.21991524078148
2018-04-25,65.11792633210268
2018-04-26,65.12434178298588
