date,lambda1_scaled,density
2017-03-24,0.5069117242150047,0.42105263157894735
2017-03-27,0.5038112364362334,0.4269005847953216
2017-03-28,0.5074712277033643,0.43859649122807015
2017-03-29,0.5080748361730932,0.43859649122807015
2017-03-30,0.5096909071319438,0.4502923976608187
2017-03-31,0.5037271967696263,0.4269005847953216
2017-04-03,0.4988425402114875,0.39766081871345027
2017-04-04,0.5007672582246661,0.4093567251461988
2017-04-05,0.4983228726268257,0.39766081871345027
2017-04-06,0.4986346606083793,0.4093567251461988
2017-04-07,0.49999110474204084,0.4152046783625731
2017-04-10,0.49495029579178546,0.40350877192982454
2017-04-11,0.4973100181871739,0.4152046783625731
2017-04-12,0.4962050084354354,0.4093567251461988
2017-04-13,0.4987264217207718,0.4093567251461988
2017-04-14,0.5009055111911103,0.4093567251461988
2017-04-17,0.4969121021122092,0.39766081871345027
2017-04-18,0.5103473733632264,0.43859649122807015
2017-04-19,0.4994719540494633,0.4093567251461988
2017-04-20,0.49713432361940385,0.391812865497076
2017-04-21,0.49976503531331057,0.39766081871345027
2017-04-24,0.5264634086572378,0.4444444444444444
2017-04-25,0.5251997411123881,0.4502923976608187
2017-04-26,0.5228723333379411,0.42105263157894735
2017-04-27,0.5266603183532004,0.43859649122807015
2017-04-28,0.5237048030224477,0.43859649122807015
2017-05-01,0.5207722481199487,0.43859649122807015
2017-05-02,0.5240652419905603,0.45614035087719296
2017-05-03,0.5225814472867855,0.4502923976608187
2017-05-04,0.5206492023180118,0.4502923976608187
2017-05-05,0.5278327907943142,0.4502923976608187
2017-05-08,0.52413644688292,0.43859649122807015
2017-05-09,0.5237761193983373,0.4502923976608187
2017-05-10,0.524717971587868,0.4502923976608187
2017-05-11,0.5244730047898982,0.43859649122807015
2017-05-12,0.5259704148359771,0.4444444444444444
2017-05-15,0.5267879948780325,0.4502923976608187
2017-05-16,0.5235970617661367,0.4152046783625731
2017-05-17,0.5340996637594145,0.4269005847953216
2017-05-18,0.5373167739857773,0.43859649122807015
2017-05-19,0.5327828960648968,0.4269005847953216
2017-05-22,0.5307181345133117,0.4269005847953216
2017-05-23,0.527619962267931,0.4093567251461988
2017-05-24,0.5010144780128298,0.391812865497076
2017-05-25,0.5017804546078024,0.391812865497076
2017-05-26,0.5059222932617932,0.391812865497076
2017-05-29,0.5022780359082122,0.391812865497076
2017-05-30,0.49961128880380473,0.38596491228070173
2017-05-31,0.4985804612393427,0.38011695906432746
2017-06-01,0.5030180098246629,0.38596491228070173
2017-06-02,0.5025292928029451,0.38011695906432746
2017-06-05,0.5043185423915517,0.38596491228070173
2017-06-06,0.49774961500802656,0.3742690058479532
2017-06-07,0.4968385349776644,0.3742690058479532
2017-06-08,0.4899788127806481,0.3684210526315789
2017-06-09,0.48935619001238717,0.3684210526315789
2017-06-12,0.49318403902221064,0.38011695906432746
2017-06-13,0.49132609047122694,0.3742690058479532
2017-06-14,0.48824289420426564,0.3567251461988304
2017-06-15,0.4917265896620155,0.3684210526315789
2017-06-16,0.49054003914023225,0.3742690058479532
2017-06-19,0.4953288995248308,0.38596491228070173
2017-06-20,0.4952427088810504,0.38596491228070173
