date,EMFI_w60,EMFI_w100,EMFI_w150,EMFI_w200,EMFI_w250
2017-03-24,,,,,
2017-03-27,-0.383217350322643,,,,
2017-03-28,-0.04082773378717283,,,,
2017-03-29,-0.42656304759356056,,,,
2017-03-30,-0.3736607549639261,,,,
2017-03-31,-0.5341828218296875,,,,
2017-04-03,-0.3862796665410206,,,,
2017-04-04,-0.5775100097243181,,,,
2017-04-05,-0.5929602321551016,,,,
2017-04-06,-0.6719248454251341,,,,
2017-04-07,-0.504256357227447,,,,
2017-04-10,-0.6669534217665479,,,,
2017-04-11,-0.5904352796875786,,,,
2017-04-12,-0.5590862458616537,,,,
2017-04-13,-0.5426743521982076,,,,
2017-04-14,-0.7252004984776059,,,,
2017-04-17,-0.6914747553646792,,,,
2017-04-18,0.45306810156936456,,,,
2017-04-19,-0.29591260493329646,,,,
2017-04-20,-0.40660403422318103,,,,
2017-04-21,-0.6251968279076375,,,,
2017-04-24,2.1652778940566275,,,,
2017-04-25,-0.034030437912907566,,,,
2017-04-26,-0.27152864739293386,,,,
2017-04-27,-0.10050143154911267,,,,
2017-04-28,-0.2746646342317782,,,,
2017-05-01,-0.4821426066574441,,,,
2017-05-02,0.13590177594127828,,,,
2017-05-03,-0.1396137113691461,,,,
2017-05-04,0.4327958023117931,,,,
2017-05-05,0.04765387921610165,,,,
2017-05-08,-0.3785165583177289,,,,
2017-05-09,-0.07330043239781224,,,,
2017-05-10,-0.34702296795044985,,,,
2017-05-11,-0.18952191361037343,,,,
2017-05-12,-0.3096649229668389,,,,
2017-05-15,-0.19214450189816987,,,,
2017-05-16,-0.18211763075958537,,,,
2017-05-17,0.9309333955795803,,,,
2017-05-18,-0.01270844441376654,,,,
2017-05-19,0.18734645609738396,0.012156899244802533,,,
2017-05-22,-0.17054014247133695,-0.3987074643236337,,,
2017-05-23,-0.20615697596287047,-0.3284421182292995,,,
2017-05-24,-0.38271775345622533,-0.5049135937942065,,,
2017-05-25,-0.5633566808687344,-0.7152433402594852,,,
2017-05-26,-0.5215416415005449,-0.6560007640327874,,,
2017-05-29,-0.37654266094806527,-0.5571773612542649,,,
2017-05-30,-0.47635101949689107,-0.6419612821465994,,,
2017-05-31,-0.4703709427377182,-0.6191504340997057,,,
2017-06-01,-0.32627845156865454,-0.4496713225134081,,,
2017-06-02,-0.4545872388958415,-0.6085372556533132,,,
2017-06-05,-0.5103758303398752,-0.6404564480598466,,,
2017-06-06,-0.41400669007817525,-0.5411154234054454,,,
2017-06-07,-0.5844552410606337,-0.6796692458437901,,,
2017-06-08,-0.5142931646013373,-0.5779850420874179,,,
2017-06-09,-0.26948675707230474,-0.31742482523507,,,
2017-06-12,-0.16907157880506818,-0.18482217240495927,,,
2017-06-13,-0.5494690220426329,-0.5990661205522264,,,
2017-06-14,-0.6236189766621706,-0.6900181405694946,,,
2017-06-15,-0.3672462629201923,-0.42020944846086056,,,
2017-06-16,-0.5170429900844834,-0.599726384409467,,,
2017-06-19,-0.21882400612211714,-0.27181959354187174,,,
2017-06-20,-0.3263596366257753,-0.41152055626151307,,,
2017-06-21,-0.5455763559476912,-0.6523323008236364,,,
2017-06-22,-0.49848331914919614,-0.6208879788789843,,,
2017-06-23,-0.4076075525423552,-0.5116422466658181,,,
2017-06-26,-0.33760598888709303,-0.44726453345918155,,,
2017-06-27,-0.2813972687167045,-0.3955098312652134,,,
2017-06-28,-0.5091701515714908,-0.6399462205559361,,,
2017-06-29,0.6394503459715988,0.5762656999370331,,,
2017-06-30,-0.48879518507458675,-0.6042979226059546,,,
2017-07-03,0.2995224713209381,0.2540529499748443,,,
2017-07-04,-0.5265425488189557,-0.6225826255677307,,,
2017-07-05,-0.34422381029477683,-0.437676507920316,,,
2017-07-06,-0.4935765065632345,-0.5889070460768828,,,
2017-07-07,-0.5792792039899235,-0.6427058635912232,,,
2017-07-10,-0.4947045081951132,-0.5577034097787185,,,
2017-07-11,-0.5669125026752089,-0.6550256515646782,,,
2017-07-12,0.5643931089437605,0.5269983297976161,,,
2017-07-13,-0.44143688093310984,-0.559602644641092,,,
2017-07-14,-0.833560840807644,-0.6890930405767439,,,
