date,EMFI,regime,P_calm,P_elevated,P_stress,P_stress_filtered
2017-05-19,0.01857247522097,1,0.0,1.0,1.2970121202534564e-31,2.208896523713878e-31
2017-05-22,-0.6091178640583337,1,0.0,0.9967268883757724,0.0032731116242561,0.00560853610259059
2017-05-23,-0.5017712970636423,1,0.0,0.9982141949521188,0.0017858050477804,0.003051736812364053
2017-05-24,-0.7713722899762473,1,0.0,0.9975445042471822,0.0024554957527053,0.003137111617851246
2017-05-25,-1.092699622365663,0,0.9993605113819872,0.0006241837266727,1.5304891433809715e-05,2.6728982675023966e-05
2017-05-26,-1.0021928856690354,0,0.9992996588666117,0.0006895890190917,1.075211436899815e-05,1.0268406024517275e-05
2017-05-29,-0.8512172822362157,1,0.0,0.9949548496075152,0.0050451503925451,0.006441226468703867
2017-05-30,-0.9807443300632166,0,0.9993111743121444,0.0006795336402547,9.292047524356292e-06,1.62284493083917e-05
2017-05-31,-0.9458954840220376,0,0.9993253427258412,0.0006673523365375,7.3049376647182e-06,7.064686368396163e-06
2017-06-01,-0.6869769442673999,1,0.0,0.997948917755305,0.002051082244777,0.0026208430023294993
2017-06-02,-0.929681399349449,0,0.9993036084089064,0.0006876937993601,8.697791659728222e-06,1.5195479407573806e-05
2017-06-05,-0.9784453479605362,0,0.999716520354803,0.0002782034097568,5.276235334887519e-06,9.219527492015243e-06
2017-06-06,-0.8266789573977089,0,0.9997389951952868,0.0002572651148337,3.7396898422899806e-06,6.534601818040779e-06
2017-06-07,-1.0383519656367963,0,0.9997380468599018,0.000256869235435,5.0839045814016056e-06,8.880930732197039e-06
2017-06-08,-0.8830058270697027,0,0.9993863013358912,0.0006082456335784,5.453030494129748e-06,5.2867418706925276e-06
2017-06-09,-0.4849398339563887,1,0.0,0.9985381939810116,0.0014618060189231,0.0025155870559432415
2017-06-12,-0.2823586136690663,1,0.0,0.9987707666804496,0.0012292333196404,0.0015710299236228015
2017-06-13,-0.9152120500164276,0,0.9994323360258,0.0005631885097764,4.475464386106022e-06,7.81782875784815e-06
2017-06-14,-1.054162295802998,0,0.999470272483598,0.0005262483348233,3.479181568693563e-06,3.3816688929448457e-06
2017-06-15,-0.6419671177659412,1,0.0,0.9991445878748184,0.0008554121252343,0.0010935909882891666
2017-06-16,-0.9162207557629316,0,0.9986377135129018,0.001354198324981,8.08816212298253e-06,7.8524851865586e-06
2017-06-19,-0.4152672950537863,1,0.0,0.99879058320785,0.0012094167921019,0.0020869658291119858
2017-06-20,-0.6286928253809768,1,0.0,0.9992316418829392,0.0007683581170044,0.000982132120477227
2017-06-21,-0.9965884596818636,0,0.9994195541841916,0.0005753783633625,5.067452388507584e-06,8.851218042443523e-06
2017-06-22,-0.9485499855284374,0,0.9993919958132166,0.000602808957606,5.195229151347162e-06,5.028898457597669e-06
2017-06-23,-0.7816518634276719,1,0.0,0.9981685326617826,0.0018314673381493,0.003152211824060768
2017-06-26,-0.6833000173494743,1,0.0,0.9988441089201918,0.0011558910798451,0.001988674314930065
2017-06-27,-0.604232740019105,1,0.0,0.998690587247601,0.0013094127525063,0.001673250054703665
2017-06-28,-0.9776658574438666,0,0.998593378341346,0.0013176293841463,8.899227455468464e-05,1.6473425809525185e-05
2017-06-29,0.8803791342888071,2,0.0,3.821555539326514e-16,1.0,0.9999999999999998
2017-06-30,-0.923204837654725,0,0.998477908965952,0.0010284338171218,0.0004936572169762,9.140474668894748e-05
2017-07-03,0.3881246379696206,2,0.0,1.3787651726156383e-05,0.9999862123481844,0.9999892183306742
2017-07-04,-0.9511389502801606,0,0.9986287267738516,0.0012736411452034,9.763208095444262e-05,9.429102901712043e-05
2017-07-05,-0.6686520908385476,1,0.0,0.9975591089001088,0.0024408910997974,0.003118612472039827
2017-07-06,-0.8996917141839186,0,0.9992543962973164,0.0007349806930686,1.0623009541799911e-05,1.8558239683361318e-05
2017-07-07,-0.9818818504252596,0,0.9997032416943936,0.0002904297490417,6.328556598078915e-06,1.1057760616452432e-05
2017-07-10,-0.8520209430208205,0,0.9996964192111722,0.0002983138634406,5.266925299109227e-06,9.196159809782373e-06
2017-07-11,-1.000703175851842,0,0.9993730416920942,0.0005611158472645,6.584246062978648e-05,1.2185236437845312e-05
2017-07-12,0.805111831937191,2,0.0,1.560214558823705e-16,1.0,0.9999999999999998
2017-07-13,-0.8549224635245228,0,0.9993550950365436,0.0005817086507961,6.319631271116008e-05,0.00011039978133218984
2017-07-14,-1.0527489916087047,0,0.9997058324472192,0.0002815248578681,1.2642694900762075e-05,2.208547119935072e-05
2017-07-17,-1.120271522300652,0,0.9994282774079252,0.000565626414868,6.096177112946692e-06,5.899066284422141e-06
2017-07-18,-0.7080395961787023,1,0.0,0.9980949395817428,0.0019050604182261,0.003266000351381509
2017-07-19,-0.9170472699107152,1,0.0,0.9981413051858904,0.0018586948142138,0.003190978152517298
2017-07-20,-0.9652283905059188,1,0.0,0.998389434318448,0.0016105656815568,0.002758591661502985
2017-07-21,-0.4555162797642951,1,0.0,0.9979400816501532,0.0020599183499218,0.003527361607164611
2017-07-24,-0.9715767973363914,1,0.0,0.9979476465174218,0.0020523534825365,0.0035295149893190755
2017-07-25,-0.933001547069486,1,0.0,0.9987244028841477,0.0012755971159047,0.0021911462715505582
2017-07-26,-0.8342386127397727,1,0.0,0.9984196146888272,0.0015803853111017,0.0020200924154681354
2017-07-27,-1.149696030388817,0,0.9983657585517212,0.0016180040428141,1.623740537598613e-05,1.564984850554857e-05
2017-07-28,-0.7095980688127907,1,0.0,0.9970430071205856,0.002956992879333,0.003777391840987774
2017-07-31,-1.2465834743001427,0,0.9993616387100286,0.0006295901250061,8.771164919157111e-06,1.5324687041689444e-05
2017-08-01,-1.0493950873784297,0,0.9997604465261276,0.0002356734128871,3.880061026901425e-06,6.7798716596680946e-06
2017-08-02,-1.2151349570938892,0,0.9997225331036268,0.0002727778690361,4.689027432578074e-06,8.193218743107504e-06
2017-08-03,-1.2522512435323547,0,0.9997153624443544,0.0002791935292217,5.444026353574421e-06,9.512592497923101e-06
2017-08-04,-1.0071607351584535,0,0.999747906610034,0.0002457408929751,6.352497039241495e-06,1.10997519580913e-05
2017-08-07,-1.214178701838648,0,0.9997022252800056,0.0002916618052271,6.112914797777654e-06,1.0680858683164686e-05
2017-08-08,-1.236381833162763,0,0.9997031690089198,0.0002894927778072,7.338213162340952e-06,1.2818713610868375e-05
2017-08-09,-0.8916924318999727,0,0.9994588878938568,0.0005278332901747,1.3278815953992236e-05,1.2385735741914712e-05
2017-08-10,-0.7012705587594283,1,0.0,0.989262072737669,0.0107379272624037,0.0030302009634817534
2017-08-11,-0.1244646364030727,2,0.0,0.0799277947624075,0.9200722052375224,0.9516187189519903
2017-08-14,-0.3582837878014922,1,0.0,0.9836293499424114,0.0163706500575488,0.0270668377753662
2017-08-15,-1.0317508465012737,1,0.0,0.9927379225776634,0.0072620774222801,0.009265634508116143
2017-08-16,-0.8470288523497544,0,0.9992704619751956,0.0007103589792246,1.9179045667728554e-05,3.3504124181016134e-05
2017-08-17,-0.8514199909268257,0,0.9996802149152176,0.000310091085293,9.693999457636333e-06,1.6936782349766132e-05
2017-08-18,-0.8460835484731688,0,0.9996545719675513,0.0003353438399981,1.0084192457452927e-05,1.7608879299870835e-05
2017-08-21,-1.0342104688965992,0,0.9990654642708237,0.0009151516037067,1.938412541581261e-05,1.840442599757069e-05
2017-08-22,-0.3667007792585206,1,0.0,0.993532140732264,0.0064678592676548,0.00825669166842348
2017-08-23,-1.0037661611491269,0,0.9976923313780846,0.0022635705167955,4.409810515504349e-05,4.214070131599392e-05
2017-08-24,-0.7676838915178963,1,0.0,0.9949409295670748,0.005059070432879,0.006460765028115426
2017-08-25,-1.0575950607786966,0,0.9976930177833856,0.0022617109417395,4.5271274803218816e-05,4.354786098691109e-05
2017-08-28,-0.770563341689187,1,0.0,0.9965118425048898,0.0034881574950227,0.005749131650491265
2017-08-29,-0.2480190479447465,1,0.0,0.9909828093115346,0.0090171906884099,0.011502744915809883
2017-08-30,-0.6973881868963748,0,0.9978355895874624,0.0021250365850898,3.937382739693964e-05,3.780595019764854e-05
2017-08-31,-0.4886365632628681,1,0.0,0.996092753668632,0.0039072463313235,0.0049900591017284016
2017-09-01,-0.7155062554230452,0,0.9990919738427896,0.0008864079284121,2.161822880691857e-05,3.775933830761847e-05
2017-09-04,-0.8104807640531859,0,0.9995630558278932,0.0004278329167574,9.111255324620316e-06,1.5916444582676664e-05
2017-09-05,-0.9865921598118932,0,0.9995678725531504,0.0004185009980932,1.362644884148843e-05,2.3804052061022934e-05
2017-09-06,-0.9632212314888976,0,0.999567027279171,0.0004195349549458,1.3437765942725672e-05,2.346171326759679e-05
2017-09-07,-0.9281830233240338,0,0.9989470607293424,0.0010326808009222,2.025846975859268e-05,1.9485694954681022e-05
2017-09-08,-1.2089953097242767,1,0.0,0.996620257539309,0.0033797424607236,0.0042133346246840606
2017-09-11,-0.2107074210442034,1,0.0,0.930054286957106,0.0699457130429422,0.08772727774334675
2017-09-12,-1.1500850993618168,0,0.9988838525032124,0.0011059831950317,1.0164301648255615e-05,1.774192905001637e-05
2017-09-13,-1.267067372467341,0,0.9988428587331696,0.0011470511278801,1.009013896048268e-05,9.50436430109032e-06
2017-09-14,-0.858176330584357,1,0.0,0.991589666657504,0.0084103333424137,0.014411397806855087
2017-09-15,-1.0226103740097272,1,0.0,0.9988611317193344,0.0011388682805958,0.0019532449440729832
2017-09-18,-0.8509244421262748,1,0.0,0.9981232247571658,0.0018767752429308,0.0023991812693459863
