horizon,beta,theta,beta_se,theta_se,cov_bt,nobs,label,irf_0.0,se_0.0,ci90lo_0.0,ci90hi_0.0,ci95lo_0.0,ci95hi_0.0,irf_0.5,se_0.5,ci90lo_0.5,ci90hi_0.5,ci95lo_0.5,ci95hi_0.5,irf_0.9,se_0.9,ci90lo_0.9,ci90hi_0.9,ci95lo_0.9,ci95hi_0.9
-5,0.0006552561108285546,0.086406642600385,0.004525575636402372,0.03074322034544244,-3.2427125012420764e-05,1956,no_covid,0.0006552561108285546,0.004525575636402372,-0.0067893158110533475,0.008099828032710456,-0.008214872136520095,0.009525384358177204,0.04385857741102105,0.014977987485990382,0.019219787996566876,0.06849736682547523,0.014501721938479907,0.07321543288356219,0.07842123445117505,0.02697554343395637,0.03404646550231682,0.12279600340003327,0.02554916932062057,0.13129329958172953
-4,-0.003406566717809955,0.07103874898382306,0.0024507697899063376,0.026157282112654247,-1.3589311688612184e-05,1957,no_covid,-0.003406566717809955,0.0024507697899063376,-0.007438083022205881,0.0006249495865859708,-0.008210075506026376,0.0013969420704064667,0.032112807774101575,0.012785453169706218,0.011080737309934845,0.0531448782382683,0.007053319561477388,0.05717229598672576,0.0605283073676308,0.023146279865576908,0.022452676988756783,0.0986039377465048,0.015161598831100062,0.10589501590416153
-3,-0.004407472042878409,0.07236454690344911,0.001898811630189971,0.01736439343350966,-1.0112619518923663e-05,1958,no_covid,-0.004407472042878409,0.001898811630189971,-0.007531017174540911,-0.0012839269112159069,-0.008129142838050753,-0.0006858012477060659,0.03177480140884614,0.008299000296207334,0.01812294592158508,0.045426656896107205,0.015508760828279768,0.04804084198941252,0.06072062017022579,0.015153736157033684,0.03579272419190538,0.0856485161485462,0.03101929730243977,0.0904219430380118
-2,-0.0010925884572489906,0.046215159989444414,0.0011572693733192755,0.00978702342432709,-3.3653036855905013e-06,1959,no_covid,-0.0010925884572489906,0.0011572693733192755,-0.002996296576359199,0.0008111196618612176,-0.0033608364289547704,0.0011756595144567891,0.022014991537473216,0.004681925415244681,0.014313224229395717,0.029716758845550716,0.012838417723593643,0.03119156535135279,0.04050105553325098,0.008536289946464147,0.026458858571317457,0.054543252495184505,0.023769927238181252,0.05723218382832071
-1,0.0008938455350328261,-0.042151491576181754,0.001216010284495756,0.009506938510466622,-3.017053418651012e-06,1959,no_covid,0.0008938455350328261,0.001216010284495756,-0.0011064913829626926,0.002894182453028345,-0.0014895346225788555,0.0032772256926445077,-0.02018190025305805,0.004588801319930594,-0.027730478424343875,-0.012633322081772222,-0.029175950840122013,-0.011187849665994084,-0.03704249688353075,0.008322097543905636,-0.05073234734325552,-0.023352646423805978,-0.0533538080695858,-0.0207311856974757
0,0.0010133766328088503,-0.016613888007638078,0.0014109717309284137,0.009419752509479557,-2.772595549530114e-06,1960,no_covid,0.0010133766328088503,0.0014109717309284137,-0.0013076718645683902,0.003334425130186091,-0.0017521279598108406,0.0037788812254285413,-0.007293567371010189,0.0046261409415311395,-0.014903569219828914,0.0003164344778085358,-0.01636080361641122,0.0017736688743908453,-0.01393912257406542,0.008298968398638504,-0.02759092558982576,-0.0002873195583050804,-0.030205100635396886,0.002326855487266048
1,0.0008573928270654107,0.015669342398527096,0.0038997958293470456,0.05573877488181947,-0.00011376589879033264,1959,no_covid,0.0008573928270654107,0.0038997958293470456,-0.005557771312210479,0.007272556966341302,-0.006786206998454799,0.00850099265258562,0.00869206402632896,0.026041222418538595,-0.03414574685216703,0.05152987490482495,-0.04234873191400669,0.05973285996666461,0.014959800985739798,0.04823843612931678,-0.06439242644698631,0.09431202841846589,-0.0795875338277211,0.10950713579920068
2,-0.0023125993261451745,0.031246893459914257,0.004823639737849461,0.0714346222009834,-0.00020974344037401216,1958,no_covid,-0.0023125993261451745,0.004823639737849461,-0.010247486694907538,0.005622288042617188,-0.011766933212330116,0.0071417345600397674,0.013310847403811953,0.03300379330010197,-0.04098039257485578,0.06760208738247969,-0.051376587464387904,0.07799828227201182,0.025809604787777655,0.06147424305621904,-0.07531552503970268,0.12693473461525798,-0.09467991160241165,0.14629912117796698
3,-0.003059614184135924,-0.015974509594487242,0.00578464493790777,0.09459610041768542,-0.00037069784251810467,1957,no_covid,-0.003059614184135924,0.00578464493790777,-0.012575355106994205,0.006456126738722357,-0.014397518262435153,0.008278289894163305,-0.011046868981379545,0.0435874962357069,-0.08274830028911741,0.06065456232635831,-0.09647836160336508,0.07438462364060598,-0.017436672819174444,0.08132913373480417,-0.1512230978129273,0.11634975217457844,-0.17684177493939063,0.14196842930104175
4,-0.009819394572469532,0.0015082129372399056,0.006870857063879815,0.09786414136439883,-0.0004212379562623328,1956,no_covid,-0.009819394572469532,0.006870857063879815,-0.021121954442551827,0.0014831652976127624,-0.023286274417673967,0.0036474852727349048,-0.00906528810384958,0.04494795058484529,-0.08300466681592009,0.06487409060822091,-0.09716327125014634,0.0790326950424472,-0.008462002928953617,0.08394442440783552,-0.14655058107984303,0.12962657522193582,-0.17299307476831122,0.156069068910404
