horizon,beta,theta,beta_se,theta_se,cov_bt,nobs,label,irf_0.0,se_0.0,ci90lo_0.0,ci90hi_0.0,ci95lo_0.0,ci95hi_0.0,irf_0.5,se_0.5,ci90lo_0.5,ci90hi_0.5,ci95lo_0.5,ci95hi_0.5,irf_0.9,se_0.9,ci90lo_0.9,ci90hi_0.9,ci95lo_0.9,ci95hi_0.9
-5,0.02410173848677752,-0.009563344230014148,0.10865888263214928,1.0527803241935072,-0.04520211156100463,1956,no_covid,0.02410173848677752,0.10865888263214928,-0.15464212344310804,0.20284560041666308,-0.18886967147223505,0.23707314844579008,0.019320066371770445,0.49365093331838145,-0.792735718936967,0.8313758516805079,-0.9482357629322572,0.986875895675798,0.015494728679764785,0.9100568910141484,-1.4815488570385094,1.512538314398039,-1.768216777707966,1.7992062350674958
-4,0.09964923075337122,0.8896448448738574,0.12282505147425568,1.1599257611213274,-0.06002920957353026,1957,no_covid,0.09964923075337122,0.12282505147425568,-0.10239797892177939,0.30169644042852184,-0.1410878701361699,0.3403863316429123,0.5444716531902999,0.53982749700654,-0.34354457938545835,1.4324878857660581,-0.5135902409425185,1.6025335473231181,0.9003295911398429,0.9984136972221188,-0.7420609407905426,2.5427201230702283,-1.05656125541551,2.857220437695196
-3,-0.0014544897349931837,2.831621257876902,0.1692930125666686,1.8115108974739171,-0.04129943998564175,1958,no_covid,-0.0014544897349931837,0.1692930125666686,-0.279941495407163,0.27703251593717665,-0.33326879436566365,0.3303598148956773,1.4143561392034578,0.8987511429950705,-0.06408949102343331,2.892801769430349,-0.3471961010668805,3.175908379473796,2.547004642354219,1.6162902693451495,-0.11179285071855194,5.20580213542699,-0.6209242855622739,5.714933570270712
-2,0.058778842008960726,0.2511163335115047,0.09834304655118402,0.8610180087078583,-0.01043708945378709,1959,no_covid,0.058778842008960726,0.09834304655118402,-0.102995469567737,0.22055315358565844,-0.13397352923135997,0.2515312132492814,0.18433700876471307,0.4296187474738417,-0.5223858308297565,0.8910598483591826,-0.6577157362840167,1.0263897538134428,0.28478354216931495,0.7690121734775988,-0.9802414832013349,1.5498085675399649,-1.2224803178467785,1.7920474021854085
-1,-0.027000185121409042,-0.1839413695148472,0.10801445069283636,0.9693007368285756,-0.023938805573852633,1959,no_covid,-0.027000185121409042,0.10801445069283636,-0.20468395651112484,0.15068358626830677,-0.23870850847936828,0.18470813823655022,-0.11897086987883265,0.471820194129848,-0.8951150892224327,0.6571733494647674,-1.0437384503733347,0.8057967106156694,-0.19254741768477152,0.8541708526066903,-1.5976584702227772,1.2125636348532343,-1.8667222887938846,1.4816274534243417
0,0.23285138113780973,1.7991798824499934,0.4104530143601831,1.336617784066351,0.17967159350805145,1960,no_covid,0.23285138113780973,0.4104530143601831,-0.44234382748469153,0.9080465897603109,-0.5716365270081492,1.0373392892837685,1.1324413223628065,0.8915043722136324,-0.334083369928619,2.598966014654232,-0.6149072471759132,2.879789891901526,1.8521132753428038,1.3924739483612008,-0.4385063697113716,4.142732920396979,-0.8771356634451495,4.581362214130757
1,0.34876315185490425,2.555338425470511,0.3363081178895893,2.2177458747539305,-0.0810149318661668,1959,no_covid,0.34876315185490425,0.3363081178895893,-0.2044637020734702,0.9019900057832787,-0.3104007592086908,1.0079270629184993,1.6264323645901597,1.1232485965000312,-0.22131157665239165,3.474176305832711,-0.5751348845499011,3.8279996137302206,2.6485677347783643,1.9877569399802582,-0.6212924314891604,5.918427901045889,-1.2474358675829418,6.54457133713967
2,-0.12309611000643768,2.803614086861233,0.13975589143330677,2.1834978494778308,-0.167908772631003,1958,no_covid,-0.12309611000643768,0.13975589143330677,-0.3529945514142273,0.10680233140135197,-0.3970176572157189,0.15082543720284358,1.2787109334241789,1.0215373959028093,-0.40171808283594257,2.9591399496843005,-0.7235023625453276,3.280924229393685,2.400156568168672,1.8918516944995203,-0.7119394692830388,5.512252605620382,-1.3078727530503875,6.108185889387732
3,0.21593330585384043,1.758486191652495,0.27390862196271704,1.7161385624281704,-0.06758284372378054,1957,no_covid,0.21593330585384043,0.27390862196271704,-0.2346463772748291,0.66651298898251,-0.32092759319308495,0.7527942049007658,1.095176401680088,0.8623954897986138,-0.32346417903863167,2.513816982398808,-0.5951187583251951,2.7854715616853714,1.7985708783410859,1.5293571795037488,-0.717221681942581,4.314363438624753,-1.1989691934862616,4.796110950168433
4,-0.2270240002927782,0.772232080224988,0.11446059894689789,1.1628109630135595,-0.057492130290501015,1956,no_covid,-0.2270240002927782,0.11446059894689789,-0.4153116855604252,-0.03873631502513117,-0.4513667742286981,-0.0026812263568583294,0.1590920398197158,0.5418869184127921,-0.7323119409693273,1.0504960206087588,-0.9030063202693568,1.2211903999087883,0.467984871909711,1.0024171567311901,-1.1809913509130967,2.1169610947325186,-1.4967527552834217,2.4327224991028435
5,-0.05519565563595982,2.801858361198008,0.19158750776916322,1.4581023892876204,-0.014493245064153181,1955,no_covid,-0.05519565563595982,0.19158750776916322,-0.3703571059162333,0.2599657946443137,-0.43070717086351973,0.32031585959160014,1.3457335249630442,0.7441291369652265,0.12164109465524664,2.569825955270842,-0.11275958348879977,2.8042266334148884,2.4664768694422476,1.3163315007668852,0.3011115506807216,4.631842188203773,-0.11353287206084728,5.046486610945342
