horizon,beta,theta,beta_se,theta_se,cov_bt,nobs,label,irf_0.0,se_0.0,ci90lo_0.0,ci90hi_0.0,ci95lo_0.0,ci95hi_0.0,irf_0.5,se_0.5,ci90lo_0.5,ci90hi_0.5,ci95lo_0.5,ci95hi_0.5,irf_0.9,se_0.9,ci90lo_0.9,ci90hi_0.9,ci95lo_0.9,ci95hi_0.9
-5,0.0050650817802711115,-0.22980144189123336,0.10212876579839239,1.44230613186737,-0.08841705905363535,2174,full,0.0050650817802711115,0.10212876579839239,-0.16293673795808436,0.1730669015186266,-0.19510729918457795,0.2052374627451202,-0.10983563916534557,0.664887186111615,-1.2035750603189523,0.9839037819882611,-1.413014523944111,1.1933432456134196,-0.2017562159218389,1.2394674786798376,-2.240680218350172,1.837167786506494,-2.631112474134321,2.227600042290643
-4,0.29381187255956837,-0.2281108338685366,0.1654856943687357,1.1899421907881709,-0.08669884196772588,2175,full,0.29381187255956837,0.1654856943687357,0.021587905322998147,0.5660358397961386,-0.030540088403153587,0.6181638335222903,0.17975645562530007,0.5428418530542893,-0.7132183926490059,1.072731303899606,-0.8842135763611071,1.2437264876117071,0.08851212207788542,1.0090872893893643,-1.5714364689676188,1.7484607131233898,-1.8892989651252685,2.0663232092810393
-3,-0.14037446178200985,3.388957267917342,0.15244974736289993,2.2633476059365636,-0.16184897729080805,2176,full,-0.14037446178200985,0.15244974736289993,-0.39115429619398023,0.11040537262996053,-0.4391759666132937,0.15842704304927402,1.554104172176661,1.0686802817049152,-0.20387489122792446,3.3120832355812464,-0.5405091799649728,3.648717524318295,2.909687079343598,1.970110174188125,-0.331144157195868,6.150518315883064,-0.9517288620651274,6.771103020752323
-2,-0.07193227438394925,1.1300835699332503,0.09715350473094993,1.7637667148594351,-0.09093292149242012,2177,full,-0.07193227438394925,0.09715350473094993,-0.2317497896663619,0.08788524089846339,-0.2623531436566111,0.1184885948887126,0.49310951058267594,0.8344004662634109,-0.8794792564206351,1.865698277585987,-1.1423154032936094,2.1285344244589615,0.9451429385559762,1.5380398871929317,-1.5849326758763964,3.475218552988349,-2.06941524034217,3.9597011174541223
-1,0.12383289482095812,-1.6307188950388964,0.13027427840540726,1.2795496712769783,-0.05597544917011764,2177,full,0.12383289482095812,0.13027427840540726,-0.09046829315593681,0.33813408279785306,-0.13150469085364014,0.37917048049555635,-0.6915265526984901,0.6085291930221488,-1.6925570752199248,0.3095039698229448,-1.8842437710219015,0.5011906656249215,-1.3438141107140487,1.1146236771810056,-3.177370059676803,0.48974183824870554,-3.52847651798882,0.8408482965607225
0,0.306137075227511,1.85386883730805,0.2852209020044681,1.4598089747199001,0.015208704528889956,2178,full,0.306137075227511,0.2852209020044681,-0.16305130856983902,0.775325459024861,-0.25289589270124646,0.8651700431562684,1.233071493881536,0.7932970617223561,-0.07190217265173993,2.5380451604148115,-0.321790747094282,2.787933734857354,1.974619028804756,1.354574046575965,-0.25365527781270636,4.202893335422218,-0.6803461024841355,4.629584160093648
1,0.27630788869932565,1.8506547539209584,0.2868568015644498,2.158661850680256,-0.11267793956924671,2177,full,0.27630788869932565,0.2868568015644498,-0.19557154987419428,0.7481873272728456,-0.28593144236699597,0.8385472197656473,1.2016352656598048,1.0651592047342577,-0.5505516261280492,2.953822157447659,-0.8860767756193404,3.28934730693895,1.9418971672281882,1.91152335368962,-1.2025587495912364,5.086353084047612,-1.8046886060034666,5.688482940459843
2,-0.1480514624436495,2.8454812472136384,0.12067763084761855,2.208653791365342,-0.20813622312265675,2176,full,-0.1480514624436495,0.12067763084761855,-0.346566165187982,0.05046324030068303,-0.3845796189049818,0.08847669401768285,1.2746891611631697,1.012899185502912,-0.39152999898912055,2.94090832131546,-0.7105932424225376,3.259971564748877,2.412881660048625,1.8950516248264417,-0.7044782627908717,5.530241582888122,-1.3014195246112008,6.127182844708451
3,0.11982485716759111,2.4024325391581978,0.22947944676852067,2.2498976877606776,-0.1478823232037086,2175,full,0.11982485716759111,0.22947944676852067,-0.2576688327666254,0.4973185471018076,-0.32995485849870937,0.5696045728338917,1.32104112674669,1.0817986848915968,-0.45851770989998686,3.1005999633933667,-0.7992842956408397,3.4413665491342194,2.282014142409969,1.9714777997961563,-0.9610668382547085,5.525095123074646,-1.5820823451904973,6.146110630010435
4,0.3212291977127969,3.0839226680982907,0.4529308219708521,3.253000953593185,-0.27868424880831927,2174,full,0.3212291977127969,0.4529308219708521,-0.4238420044292548,1.0663003998548486,-0.5665152133500732,1.208973608775667,1.8631905317619424,1.6037349786365624,-0.7749535080952028,4.501334571619088,-1.28013002636572,5.006511089889605,3.096759599001259,2.8766207600133074,-1.6352815512206318,7.8288007492231495,-2.5414170906248232,8.734936288627342
