horizon,beta,theta,beta_se,theta_se,irf_normal,se_normal,ci95lo_normal,ci95hi_normal,irf_fragile,se_fragile,ci95lo_fragile,ci95hi_fragile,nobs,label
-5,-0.11354695541519622,-0.2818693749935281,0.28268513710781734,0.42742871171625,-0.11354695541519622,0.28268513710781734,-0.6676098241465181,0.4405159133161257,-0.3954163304087243,0.32365849004703734,-1.0297869709009175,0.23895431008346885,2174,full
-4,0.6665323635460232,-0.46316078992682586,0.42418030994585054,0.6515320563536423,0.6665323635460232,0.42418030994585054,-0.16486104394784384,1.49792577103989,0.20337157361919733,0.5058486432559521,-0.7880917671624689,1.1948349144008636,2175,full
-3,-0.5222589509023423,1.632545837220323,0.2547121852650807,1.0661959685269744,-0.5222589509023423,0.2547121852650807,-1.0214948340219006,-0.023023067782784123,1.1102868863179807,1.0336753942601244,-0.9157168864318632,3.1362906590678246,2176,full
-2,-0.16661876664567854,0.3863142231539244,0.270562249298349,0.614215987177842,-0.16661876664567854,0.270562249298349,-0.6969207752704425,0.3636832419790854,0.21969545650824585,0.551635451286952,-0.8615100280141801,1.3009009410306718,2177,full
-1,-0.006565666392202761,-1.101037197408372,0.1986124990350449,0.45426859158304267,-0.006565666392202761,0.1986124990350449,-0.3958461645008908,0.3827148317164853,-1.1076028638005746,0.4019370544933019,-1.8953994906074465,-0.3198062369937028,2177,full
0,-0.32518239696690326,2.421675473662532,0.3623378357915082,1.2758273937446878,-0.32518239696690326,0.3623378357915082,-1.0353645551182593,0.3849997611844527,2.0964930766956287,1.226294997859525,-0.3070451191090404,4.500031272500298,2178,full
1,0.39931021952451784,1.4754196769183847,0.6185648896279132,1.7895299619390217,0.39931021952451784,0.6185648896279132,-0.813076964146192,1.6116974031952278,1.8747298964429024,1.6729238579393764,-1.4042008651182751,5.15366065800408,2177,full
2,-0.1464164208089105,0.3611587462415423,0.3385926018577086,0.4714269131612121,-0.1464164208089105,0.3385926018577086,-0.8100579204500193,0.5172250788321984,0.2147423254326318,0.3273241699857083,-0.42681304773935635,0.85629769860462,2176,full
3,0.04240373835249098,1.4967929253653385,0.37060942139013114,1.2118683311600589,0.04240373835249098,0.37060942139013114,-0.6839907275721661,0.7687982042771481,1.5391966637178294,1.154319459803793,-0.7232694774976045,3.8016628049332635,2175,full
4,-0.6390833964447696,3.019093842696947,0.33993282182398604,1.5870794660138414,-0.6390833964447696,0.33993282182398604,-1.3053517272197823,0.02718493433024305,2.3800104462521774,1.5659998333999565,-0.6893492272117374,5.449370119716092,2174,full
5,-0.5284523023518672,1.5534799949662128,0.30483516786558557,0.876323039550096,-0.5284523023518672,0.30483516786558557,-1.1259292313684148,0.06902462666468046,1.0250276926143456,0.8394919357460272,-0.6203765014478677,2.6704318866765586,2173,full
6,-0.18408547319739385,2.812593057222201,0.3939531697358282,1.5206824743228469,-0.18408547319739385,0.3939531697358282,-0.9562336858796172,0.5880627394848295,2.628507584024807,1.4674497576611159,-0.24769394099097974,5.5047091090405935,2172,full
7,-0.5422324798106681,0.8214648830979815,0.36070207625722767,0.4950259087297241,-0.5422324798106681,0.36070207625722767,-1.2492085492748344,0.1647435896534981,0.27923240328731336,0.34415758146814346,-0.3953164563902478,0.9537812629648745,2171,full
8,0.6480697572090596,-0.3555158546282309,0.7317262342702947,0.8224015057482797,0.6480697572090596,0.7317262342702947,-0.786113661960718,2.082253176378837,0.2925539025808287,0.36339190178500175,-0.41969422491777475,1.004802030079432,2170,full
9,-0.08807541991643142,2.11689279317299,0.4586806654012717,1.6008327095885588,-0.08807541991643142,0.4586806654012717,-0.9870895241029239,0.8109386842700611,2.0288173732565586,1.5252137107632757,-0.9606014998394619,5.018236246352579,2169,full
10,-0.1754710589867265,0.4327942791422315,0.3637557773745199,0.4428808865128407,-0.1754710589867265,0.3637557773745199,-0.8884323826407856,0.5374902646673325,0.257323220155505,0.24514896277377343,-0.2231687468810909,0.7378151871921009,2168,full
11,-0.13998129606026757,-0.06410900393577629,0.32175237555844693,0.44436488951728786,-0.13998129606026757,0.32175237555844693,-0.7706159521548235,0.4906533600342884,-0.20409029999604386,0.3029950908058094,-0.7979606779754302,0.38978007798334247,2167,full
12,-0.03780402350059542,0.25128951616046546,0.40743492280939014,0.4879487378820896,-0.03780402350059542,0.40743492280939014,-0.8363764722070001,0.7607684252058092,0.21348549265987005,0.2651148532687038,-0.3061396197467894,0.7331106050665295,2166,full
13,0.7405679518084428,-1.1926443447227193,0.770795303954823,0.9745560096758433,0.7405679518084428,0.770795303954823,-0.7701908439430102,2.251326747559896,-0.4520763929142765,0.5907437944698896,-1.6099342300752602,0.7057814442467071,2165,full
14,0.07058848239168344,1.6074700821340377,0.4445276891067817,1.2474265399569828,0.07058848239168344,0.4445276891067817,-0.8006857882576086,0.9418627530409756,1.678058564525721,1.176150499853903,-0.6271964151879288,3.983313544239371,2164,full
15,0.3704759697262709,-0.7603468294007516,0.6325259145239792,0.7809514412834868,0.3704759697262709,0.6325259145239792,-0.8692748227407283,1.6102267621932702,-0.3898708596744807,0.48515275805449554,-1.3407702654612919,0.5610285461123306,2163,full
