outcome,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,nobs,irf_p9,se_irf_p9,ci95lo_irf_p9,ci95hi_irf_p9,amplification,theta_boot_se,theta_boot_ci95lo,theta_boot_ci95hi,irf_p9_boot_se,irf_p9_boot_ci95lo,irf_p9_boot_ci95hi,n_boot_valid
EMFI,0.13792931724908505,0.4191553560495827,1.4392115081063306,1.3298621174779108,1.0822261114075504,0.2792728132271252,2178,1.4332196745447825,1.4006877291696989,-1.312128274627827,4.178567623717392,10.390972007470657,1.4868320757074367,-0.9538243967424203,4.731089303158796,1.5099650665805973,-1.1951269174472536,4.590300973898382,1000
tci_w100,0.26976910896443,0.42073111092765814,2.6960380422236154,1.5890701337053976,1.696613626446422,0.08991374619792895,2178,2.696203346965684,1.5491680756603101,-0.3401660813285239,5.732572775259891,9.994485125875505,1.9361320578765573,0.07747364573998114,7.647828255787985,1.8554704835242295,-0.05559009739610762,6.967595586602654,1000
TailVolBreadth,0.6861180582952832,1.0128839786512733,1.7675280491303538,3.857820245208032,0.45816754975193,0.6468781387373345,2178,2.2768933025126015,3.812691781804636,-5.195982589824485,9.749769194849689,3.3185153414701407,4.2874743357719645,-4.339752784364223,11.61151157789921,4.122876650603608,-4.191270802152037,11.106609097128063,1000
P_stress,-0.02697677596740383,0.06548128326317777,0.38174237117585613,0.3934466754834338,0.9702518662962486,0.33202954419154584,2178,0.3165913580908667,0.35861454057455916,-0.38629314143526927,1.0194758576170027,-11.735700310274497,0.4761679354438261,-0.33093918380599346,1.5372862944653032,0.4352808823186266,-0.3403232507751639,1.2960614421600691,1000
AvgCorr60,0.0009549450758458567,0.0014302005801674989,-0.012176833915563765,0.00973320679600871,-1.2510608446701361,0.211047703281195,2178,-0.010004205448161533,0.008543015996533352,-0.026748516801366903,0.0067401059050438365,-10.476210309059041,0.011220731739509727,-0.0308914559679286,0.01253338529147071,0.009945865972665734,-0.02722651599201338,0.011634233202755246,1000
