horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
-5,-0.03546125186239279,0.12617081021894708,-0.9613724901949311,1.1589140181165938,-0.8295460018313552,0.4068873101946997,-0.049222492693465215,2174,True,-0.03546125186239279,0.12617081021894708,-0.28275603989152903,0.21183353616674347,-0.5161474969598583,0.5499700046408236,-1.5940887060558724,0.5617937121361558,-0.9006964930378308,1.0075786642375169,-2.875550674943364,1.074157688867702
-4,0.04242888836178219,0.12598739315428684,0.01635957118975119,1.241861537884673,0.013173426095164599,0.9894906484046716,-0.06114103518362933,2175,True,0.04242888836178219,0.12598739315428684,-0.20450640222062,0.28936417894418437,0.05060867395665779,0.5833410733606067,-1.0927398298301314,1.193957177743447,0.05715250243255826,1.074717276365222,-2.049293359243277,2.163598364108393
-3,-0.08544944274837238,0.1852124167988627,2.117128640492077,1.8360106498450466,1.1531134858453875,0.24899145262914935,-0.031015178615636903,2176,True,-0.08544944274837238,0.1852124167988627,-0.44846577967414325,0.27756689417739844,0.973114877497666,0.9197946712755768,-0.8296826782024646,2.7759124331977967,1.819966333694497,1.645883882285539,-1.4059660755851597,5.0458987429741535
-2,-0.024179622378030223,0.0989784675994797,-0.3677416418758476,0.8598415294405144,-0.427685369087873,0.6689228372877172,-0.004265960668533942,2177,True,-0.024179622378030223,0.0989784675994797,-0.21817741887301045,0.16981817411695,-0.20805044331595404,0.43630567302919415,-1.0632095624531746,0.6471086758212665,-0.3551471000662931,0.7752246429280797,-1.8745874002053293,1.164293200072743
-1,-0.042284468676018365,0.13556347217447984,-0.6288461818504464,0.9505995237502213,-0.6615258751335977,0.5083456854177504,-0.01762058686885696,2177,True,-0.042284468676018365,0.13556347217447984,-0.30798887413799886,0.22341993678596211,-0.35670755960124156,0.4760952969287566,-1.2898543415816044,0.5764392223791213,-0.60824603234142,0.8477077071803216,-2.2697531384148504,1.0532610737320103
0,0.13792931724908505,0.4191553560495827,1.4392115081063306,1.3298621174779108,1.0822261114075504,0.2792728132271252,0.1965127602356781,2178,True,0.13792931724908505,0.4191553560495827,-0.683615180608097,0.9594738151062672,0.8575350713022504,0.9024063860680722,-0.9111814453911712,2.626251587995672,1.4332196745447825,1.4006877291696989,-1.312128274627827,4.178567623717392
1,0.320882105086151,0.36409299861791017,1.8912940906398796,2.300346785815937,0.8221778134939052,0.4110664505745635,-0.06285557571192499,2177,True,0.320882105086151,0.36409299861791017,-0.39274017220495294,1.0345043823772548,1.266529150406091,1.180087695759974,-1.0464427332834578,3.5795010340956397,2.023046786662043,2.074997806437931,-2.043948913956301,6.090042487280387
2,-0.19388801404365227,0.1462270246242086,2.167822317525567,2.232091249150422,0.9712068529235455,0.33155407335317244,-0.17154513431282487,2176,True,-0.19388801404365227,0.1462270246242086,-0.48049298230710114,0.09271695421979662,0.8900231447191311,1.04661121938908,-1.1613348452834655,2.941381134721728,1.7571520717293578,1.9360290519617251,-2.037464870115623,5.551769013574339
3,0.18491458156739773,0.3070473370065926,0.790689275491212,1.8204664208013088,0.4343333480126356,0.6640898129126235,-0.04367472566788168,2175,True,0.18491458156739773,0.3070473370065926,-0.4168981989655237,0.7867273621003191,0.5802592193130037,0.9376181732513723,-1.2574724002596858,2.4179908388856934,0.8965349295094885,1.6431929078064471,-2.324123169791148,4.117193028810125
4,-0.2694799740510179,0.129616925051774,-0.18315363415213315,1.3103972588560282,-0.13976954920679976,0.8888551222982122,-0.06833711026830296,2174,True,-0.2694799740510179,0.129616925051774,-0.523529147152495,-0.015430800949540913,-0.3610567911270845,0.6146126267787885,-1.56569753961351,0.8435839573593409,-0.4343182447879378,1.1334363411109685,-2.6558534733654358,1.7872169837895604
5,-0.12174858283428867,0.19806507939499715,1.643902638358603,1.5911137761876117,1.0331773019384423,0.30163680964729117,0.0016586916007432916,2173,True,-0.12174858283428867,0.19806507939499715,-0.5099561384484831,0.2664589727799057,0.7002027363450128,0.8208527453020975,-0.9086686444470983,2.309074117137124,1.3577637916884542,1.4466673045534781,-1.4777041252363627,4.193231708613271
6,0.32679776170796954,0.40617482059468096,0.5036837539347354,1.2260705375813132,0.4108113999120797,0.6812516772517423,0.08752366851892145,2172,True,0.32679776170796954,0.40617482059468096,-0.4693048866576051,1.1229004100735442,0.5786396386753372,0.7926625348692061,-0.9749789296683067,2.132258207018981,0.7801131402492314,1.2410287056915217,-1.652303122906151,3.2125294034046137
7,-0.12165389174159691,0.1922454984821824,-0.5089923843925915,1.158910742907015,-0.4391989525576695,0.6605614375940994,-0.02803949707721351,2171,True,-0.12165389174159691,0.1922454984821824,-0.4984550687666744,0.2551472852834806,-0.3761500839378927,0.5871008108628123,-1.5268676732290047,0.7745675053532195,-0.5797470376949293,1.0365217151937354,-2.6113295994746504,1.451835524084792
8,0.1242650911273195,0.21454158644665974,-0.4806578624970698,1.3087624624375986,-0.3672613451961589,0.7134601793191537,-0.10574864091942877,2170,True,0.1242650911273195,0.21454158644665974,-0.29623641830813363,0.5447666005627726,-0.11606384012121541,0.6070372699983524,-1.3058568893179863,1.0737292090755552,-0.30832698512004336,1.1149423648599586,-2.493614020245562,1.8769600500054753
9,0.4092906875487865,0.45390242957492716,0.4672696264826936,1.3023862407145075,0.35877960920897234,0.7197951623249295,0.10966001322747386,2169,True,0.4092906875487865,0.45390242957492716,-0.48035807441807066,1.2989394495156437,0.6429255007901333,0.8600813384803279,-1.0428339226313093,2.3286849242115757,0.8298333513832108,1.3331712097797015,-1.783182219785004,3.4428489225514256
10,-0.13458796677305207,0.11773395578289779,0.7215810135801174,0.9480283618457941,0.761138635320163,0.44665769865441907,-0.0008832343417325923,2168,True,-0.13458796677305207,0.11773395578289779,-0.36534652010753177,0.0961705865614276,0.22620254001700663,0.48751153188264346,-0.7293200624729745,1.1817251425069877,0.5148349454490536,0.8603866922314796,-1.1715229713246464,2.2011928622227535
11,-0.14525280592823656,0.12244853064750627,0.07393959346604251,1.1894617608794098,0.06216222824294615,0.9504394198020586,-0.012796703095018618,2167,True,-0.14525280592823656,0.12244853064750627,-0.3852519259973488,0.09474631414087573,-0.1082830091952153,0.5965750243777401,-1.2775700569755861,1.0610040385851554,-0.0787071718087983,1.0667535771527183,-2.169544183028126,2.0121298394105294
12,-0.01898144135952813,0.1702108136301759,-0.5482241633734786,1.0285934614799974,-0.5329842973964303,0.5940995600972667,-0.028663711359315953,2166,True,-0.01898144135952813,0.1702108136301759,-0.3525946360746729,0.31463175335561666,-0.2930935230462674,0.5145960910920149,-1.3017018615866165,0.7155148154940816,-0.5123831883956589,0.9134334638710113,-2.3027127775828413,1.2779464007915233
13,-0.05050739344310405,0.2448508556610397,0.05674663622220702,1.196905941797961,0.04741110745675111,0.9621899839581183,-0.04060209020627069,2165,True,-0.05050739344310405,0.2448508556610397,-0.5304150705387418,0.42940028365253374,-0.02213407533200054,0.6144068763364295,-1.2263715529514023,1.1821034022874013,0.0005645791568822667,1.0711027421731214,-2.0987967955024356,2.0999259538162
