horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
5,0.02020810171331511,0.06426616953417069,0.2587364733578299,0.5347256640938757,0.48386769278462477,0.6285289113146569,-0.004779400401052494,2173,True,0.02020810171331511,0.06426616953417069,-0.10575359057365943,0.14616979400028965,0.14957633839223006,0.266145869976788,-0.37206956676227443,0.6712222435467345,0.25307092773536205,0.4765834280119439,-0.6810325911680479,1.1871744466387721
6,0.0831113963104668,0.07510762318450862,-0.5067981321272179,0.28408148322206694,-1.7839886161501524,0.07456618139209327,-0.0010252124869001345,2172,True,0.0831113963104668,0.07510762318450862,-0.06409954513117008,0.23032233775210367,-0.17028766975314216,0.15745321480026495,-0.47889597076166146,0.1383206312553771,-0.37300692260402935,0.26299168572945797,-0.888470626633767,0.14245678142570828
7,-0.0007050100125723075,0.08015010521248934,-0.5600562768407561,0.24198127866307495,-2.3144611844974836,0.020736069760439513,0.006429760852797325,2171,True,-0.0007050100125723075,0.08015010521248934,-0.15779921622905144,0.15638919620390682,-0.28073314843295033,0.16580873024127715,-0.6057182597058535,0.04425196283995286,-0.5047556591692528,0.2557872351615222,-1.0060986400858363,-0.0034126782526693322
8,0.1379082774373142,0.08700370652057814,-0.5665367669236778,0.302178813092985,-1.8748394737699425,0.06095008838932298,-0.009756411108857197,2170,True,0.1379082774373142,0.08700370652057814,-0.032618987343018935,0.30843554221764735,-0.1453601060245247,0.14367060454398103,-0.4269544909307275,0.1362342788816781,-0.37197481279399586,0.2529246001657943,-0.8677070291189527,0.12375740353096099
9,0.08408782926303544,0.07642367196911634,-0.6802632693432471,0.23817470049086137,-2.85615251301365,0.004329227283539258,-0.004890857042639707,2169,True,0.08408782926303544,0.07642367196911634,-0.06570256779643259,0.2338782263225035,-0.2560438054085881,0.12301023365184408,-0.49714386336620253,-0.014943747450973738,-0.528149113145887,0.20733079173909494,-0.934517464954513,-0.1217807613372609
10,0.017730523402547018,0.06349724686389163,0.05301843545022433,0.44035436430431246,0.12039947766609456,0.9041779496855888,-0.0022257328045924836,2168,True,0.017730523402547018,0.06349724686389163,-0.10672408045068058,0.14218512725577462,0.04423974112765919,0.22424129658732642,-0.39527320018350054,0.48375268243881897,0.06544711530774892,0.39635120020271186,-0.7114012370895663,0.8422954677050641
11,0.04908445754034281,0.07078856907386362,-0.388839309213649,0.3128713605843392,-1.2428088927264773,0.2140737858718089,0.004872342731974527,2167,True,0.04908445754034281,0.07078856907386362,-0.08966113784442988,0.1878300529251155,-0.14533519706648168,0.18535233020378672,-0.5086257642659037,0.2179553701329403,-0.30087092075194133,0.30507525945401526,-0.8988184292818112,0.29707658777792856
12,0.03402055200313214,0.0669391368192242,-0.3679607553357326,0.26889636109295056,-1.3684110630583728,0.17132648356357566,0.0006611007511554261,2166,True,0.03402055200313214,0.0669391368192242,-0.09718015616254727,0.16522126016881156,-0.14995982566473415,0.15237539841298484,-0.4486156065541844,0.14869595522471613,-0.2971441277990272,0.25345233146983925,-0.7939106974799122,0.19962244188185774
13,0.013321612411162757,0.054168343896863216,-0.3999650178985169,0.43699282461654365,-0.915266785557593,0.3601543259618144,-0.0036407648889117687,2165,True,0.013321612411162757,0.054168343896863216,-0.09284834162668915,0.11949156644901465,-0.1866608965380957,0.21687352716088562,-0.6117330097734315,0.23841121669724014,-0.34664690369750245,0.388665206805584,-1.108430709036447,0.41513690164144207
14,0.044852451786083325,0.07120392524701309,-0.2850421714359152,0.31629710381936854,-0.901184892286265,0.3675910993109961,-0.0012685687205762582,2164,True,0.044852451786083325,0.07120392524701309,-0.09470724169806233,0.18441214527022898,-0.09766863393187428,0.16974214185386038,-0.4303632319654406,0.23502596410169205,-0.21168550250624035,0.28952046587418734,-0.7791456156196475,0.3557746106071668
15,-0.027206802798648056,0.0398765033625898,-0.658978265948813,0.2833769457359335,-2.3254476973680345,0.020140824539471847,-0.003090464243666939,2163,True,-0.027206802798648056,0.0398765033625898,-0.10536474938932405,0.05095114379202795,-0.3566959357730546,0.13629121255758292,-0.6238267123859171,-0.08956515916019209,-0.6202872421525798,0.24712814391581017,-1.1046584042275678,-0.13591608007759187
