horizon,beta,beta_se,theta,theta_se,theta_tstat,theta_pval,cov_bt,nobs,converged,irf_p00,se_irf_p00,ci95lo_irf_p00,ci95hi_irf_p00,irf_p05,se_irf_p05,ci95lo_irf_p05,ci95hi_irf_p05,irf_p09,se_irf_p09,ci95lo_irf_p09,ci95hi_irf_p09
5,-0.013084990318142132,0.008629603471725023,-0.005727871516683751,0.1050863218480972,-0.054506346934127335,0.9565368020446361,-0.0004929578188384285,2173,True,-0.013084990318142132,0.008629603471725023,-0.029999013122723177,0.003829032486438913,-0.01594892607648401,0.04839727262079185,-0.11080758041323602,0.07890972826026801,-0.018240074683157508,0.09017807585114664,-0.1949891033514049,0.1585089539850899
6,-0.011856617461965382,0.008621658230351225,-0.0011953779388994556,0.10150019687542788,-0.011777099707171543,0.9906045413145032,-0.0004201997897135566,2172,True,-0.011856617461965382,0.008621658230351225,-0.028755067593453785,0.00504183266952302,-0.01245430643141511,0.04721975955429127,-0.105005035157826,0.08009642229499578,-0.012932457606974892,0.08753758188009642,-0.18450611809196388,0.1586412028780141
7,-0.013270123351924953,0.009023658728699539,-0.01769792396863725,0.10322241935531402,-0.17145426428843086,0.8638826945083007,-0.00045706916087186926,2171,True,-0.013270123351924953,0.009023658728699539,-0.030956494460176048,0.004416247756326142,-0.022119085336243578,0.04783381879351933,-0.11587337017154145,0.07163519949905431,-0.02919825492369848,0.08882085842812913,-0.20328713744283158,0.1448906275954346
8,-0.011207445595736764,0.010919059523892024,-0.027199867421991108,0.10376299480229546,-0.2621345641942612,0.7932427767697527,-0.0005832181251067135,2170,True,-0.011207445595736764,0.010919059523892024,-0.03260880226256513,0.010193911071091603,-0.024807379306732318,0.04719849053057611,-0.11731642074666149,0.06770166213319684,-0.03568732627552876,0.08826385499665523,-0.208684482068973,0.13730982951791548
9,-0.006004671034431172,0.011079126970977656,-0.04688276960275056,0.11865829319684786,-0.3951073990671222,0.6928027869072507,-0.0007083299609349073,2169,True,-0.006004671034431172,0.011079126970977656,-0.027719759897547377,0.01571041782868503,-0.029446055835806454,0.054169776901898115,-0.13561881856352676,0.07672670689191385,-0.04819916367690668,0.10125405407049828,-0.2466571096550833,0.15025878230126993
10,-0.007297755834226764,0.01140398257625013,-0.049540439358395055,0.12069069901680896,-0.41047437592100955,0.6814988788357589,-0.0007758197806563574,2168,True,-0.007297755834226764,0.01140398257625013,-0.029649561683677016,0.015054050015223489,-0.03206797551342429,0.05473383090223589,-0.13934628408180663,0.07521033305495806,-0.05188415125678232,0.10262667063216273,-0.25303242569582124,0.14926412318225663
11,-0.006560185874255338,0.01190966214996467,-0.05246952380734719,0.11931707237962266,-0.4397486693304763,0.6601633466406134,-0.0008126187160712317,2167,True,-0.006560185874255338,0.01190966214996467,-0.02990312368818609,0.016782751939675416,-0.032794947777928934,0.05374348590076845,-0.1381321801434351,0.07254228458757724,-0.05378275730086781,0.10104822121247764,-0.251837270877324,0.14427175627558836
12,-0.00721591140156529,0.013851363391679923,-0.055327726837076166,0.12032127275336249,-0.4598332910796938,0.6456824015943724,-0.000978313523613504,2166,True,-0.00721591140156529,0.013851363391679923,-0.03436458364925794,0.01993276084612736,-0.034879774820103376,0.05322451421518217,-0.13919982268186043,0.06944027304165368,-0.05701086555493384,0.1007841006987967,-0.2545477029245754,0.1405259718147077
13,-0.007684553562194909,0.01446556350212026,-0.05101885068182173,0.12192385766856999,-0.41844846166619915,0.6756610929040129,-0.0010486339508576196,2165,True,-0.007684553562194909,0.01446556350212026,-0.03603705802635061,0.0206679509019608,-0.03319397890310577,0.05363744348654849,-0.1383233681367408,0.07193541033052926,-0.05360151917583447,0.10179738376602117,-0.25312439135723597,0.14592135300556702
14,-0.008032553543107834,0.015328370462810412,-0.034169059091998494,0.12109274532920132,-0.28217263552087196,0.777838336604301,-0.0011175981943201086,2164,True,-0.008032553543107834,0.015328370462810412,-0.03807615965021624,0.022011052564000575,-0.02511708308910708,0.05275626967068229,-0.12851937164364435,0.0782852054654302,-0.038784706725906476,0.10050213479360941,-0.2357688909213809,0.15819947746956795
15,-0.008089407657718305,0.015326141479452979,-0.032038269918597054,0.11945964886653104,-0.26819323698492137,0.7885763566271102,-0.0010773318938213637,2163,True,-0.008089407657718305,0.015326141479452979,-0.03812864495744614,0.021949829642009533,-0.02410854261701683,0.052203550125020884,-0.12642750086205776,0.07821041562802411,-0.03692385058445565,0.09927177568017416,-0.231496530917597,0.1576488297486857
