date,VolStress,SqStress,TailVolBreadth,TailLossBreadth,TailGainBreadth,AvgCorr60,AvgCorr30
2017-01-02,0.006352619461274482,6.530357644179134e-05,,,,,
2017-01-03,0.00584152416862553,6.411345751109804e-05,,,,,
2017-01-04,0.003374030408425427,2.4173015204681065e-05,,,,,
2017-01-05,0.002913184977298755,1.4421288625966719e-05,,,,,
2017-01-06,0.0016839323673194634,4.839884310793469e-06,,,,,
2017-01-09,0.004987925056309861,3.62430903758205e-05,,,,,
2017-01-10,0.004880754436484602,4.93362441942192e-05,,,,,
2017-01-11,0.003395206351934442,1.6966477138379184e-05,,,,,
2017-01-12,0.005121501154690964,4.4237680873115494e-05,,,,,
2017-01-13,0.008600205638577335,9.92521250909622e-05,,,,,
2017-01-16,0.006620799638947,5.828921250892366e-05,,,,,
2017-01-17,0.004125229894716847,2.575606536941944e-05,,,,,
2017-01-18,0.0026972381997790785,1.0081786298783702e-05,,,,,
2017-01-19,0.00371206884769706,2.0253610009202016e-05,,,,,
2017-01-20,0.0035816039980266444,1.939454525803709e-05,,,,,
2017-01-23,0.005484215697493548,4.132069353475593e-05,,,,,
2017-01-24,0.005657683545600017,5.202313808205681e-05,,,,,
2017-01-25,0.011133056484169448,0.00018300400913595562,,,,,
2017-01-26,0.003345222602542155,1.7807881808052292e-05,,,,,
2017-01-27,0.005103800185337626,9.156277746346485e-05,,,,,0.3424561103386437
2017-01-30,0.013196096707242491,0.00024055660322519617,,,,,0.4187911785258786
2017-01-31,0.006132227351757143,5.1074653081522746e-05,,,,,0.416048693196065
2017-02-01,0.007801348195337924,8.293005951497751e-05,,,,,0.41101869354531906
2017-02-02,0.004842386261717782,3.1622022276272084e-05,,,,,0.39684833437796724
2017-02-03,0.006772784289941401,5.8770280660468595e-05,,,,,0.4076646778087099
2017-02-06,0.008836998542950964,0.00010183322488425342,,,,,0.40554311998714015
2017-02-07,0.0034295235485633895,1.4811380961601515e-05,,,,,0.40049137104374816
2017-02-08,0.003320038747639262,3.112081795570077e-05,,,,,0.39538014975099145
2017-02-09,0.008333750613698489,9.249695412676829e-05,,,,,0.3933723213492872
2017-02-10,0.005226872952255721,5.641923066579233e-05,,,,0.38719259670262046,0.38719259670262046
2017-02-13,0.007453520283003279,6.60136784845555e-05,,,,0.38813475956088445,0.38909409858194327
2017-02-14,0.0035843526880549328,2.1567237785065244e-05,,,,0.38409576683894336,0.3768904403698644
2017-02-15,0.005642331487885346,4.0903255055549426e-05,,,,0.37786755916129466,0.37519443653217527
2017-02-16,0.0035288606724832817,2.2604143667339675e-05,,,,0.37351510897585105,0.37514793817736863
2017-02-17,0.005153428377418693,4.192487711976878e-05,,,,0.3644136051725869,0.36676355431220453
2017-02-20,0.005201069883607193,4.787764799982535e-05,,,,0.3669569511308064,0.37458434942576774
2017-02-21,0.007726509487011263,9.26531891728247e-05,,,,0.37317614073170735,0.38933114661941554
2017-02-22,0.005136847244297661,4.467538127031383e-05,,,,0.36805095390147236,0.3845134749429541
2017-02-23,0.004531197327384764,3.417772404780621e-05,,,,0.366714864836354,0.37604492114842475
2017-02-24,0.008896363820377536,0.00010757410468091202,,,,0.3892539334366112,0.4141369899370472
2017-02-27,0.0031752948808194915,2.7601159878429884e-05,,,,0.3855466160635973,0.4054801123892204
2017-02-28,0.00428561837841971,4.823795075173544e-05,,,,0.37696143590840636,0.39958706937794775
2017-03-01,0.01714984696716924,0.00036387836697060623,,,,0.4140414748776963,0.4432907303454347
2017-03-02,0.003088465372329564,1.5134741823136198e-05,,,,0.4114145140151616,0.4461635012619053
2017-03-03,0.004960206677046804,4.2109703248693585e-05,,,,0.4037440646558638,0.4384129927091684
2017-03-06,0.004091927360296282,2.4976242763882916e-05,,,,0.40741482472319973,0.4351957005798771
2017-03-07,0.0035170042425722975,4.2154807379254195e-05,,,,0.4050036233685412,0.4414014909222109
2017-03-08,0.002837398487816594,1.5426366683212888e-05,,,,0.40412334840352493,0.426682679006043
