,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
VolStress,2278.0,0.007334576340902868,0.006158795521322562,0.0,0.004380739566706687,0.005799620012557639,0.008149013333096283,0.11923958262389457,6.172981119834067,73.43343982441667
SqStress,2278.0,0.00012356858802987136,0.00043563815788770873,0.0,3.2249498364475206e-05,5.4298440273993486e-05,0.0001004533286014816,0.015057493965756162,22.245634830516682,669.3633147313786
TailVolBreadth,2218.0,1.0951307484220019,2.7097551276155345,0.0,0.0,0.0,1.0,19.0,4.047528627667526,18.090311739177007
TailLossBreadth,2218.0,1.0807033363390441,2.849918618340905,0.0,0.0,0.0,1.0,19.0,3.9833142455883372,17.00968527213299
TailGainBreadth,2218.0,1.0536519386834986,2.4815617235654206,0.0,0.0,0.0,1.0,19.0,3.9327062850353407,17.92231530585614
AvgCorr60,2249.0,0.4758629426701799,0.12450843547852761,0.2073327406013662,0.3958775403967255,0.45429606587214916,0.5474049999704,0.8714376575978379,0.6042771179114702,0.28820752110855485
AvgCorr30,2259.0,0.46095268715832116,0.13303448138194401,0.1450104602757173,0.3681426032837689,0.4429316111227403,0.5345896114375263,0.8845232328386491,0.5444977951200072,0.23822027770021625
