date,P_stress_baseline,P_stress_filtered,P_stress_2_state,P_stress_3_state_diag,P_stress_covid_excl,P_stress_pre_2020
2017-05-19,1.2970121202534564e-31,2.208896523713878e-31,1.0,1.4827387487244771e-128,4.511692589361833e-25,0.9999999754863896
2017-05-22,0.0032731116242561,0.00560853610259059,0.09215561327106951,0.00044985616215590323,0.012369482375107543,0.003997498464738502
2017-05-23,0.0017858050477804,0.003051736812364053,0.01977636623876743,0.00025466831042976067,0.009259902821488315,0.004423936343832535
2017-05-24,0.0024554957527053,0.003137111617851246,0.022408546595446607,0.00045007260466043276,0.012878297128403224,0.0027896001111114305
2017-05-25,1.5304891433809715e-05,2.6728982675023966e-05,0.005715134526634798,2.615191475898277e-06,9.322772790232788e-05,1.3524684116215759e-05
2017-05-26,1.075211436899815e-05,1.0268406024517275e-05,0.0038657152999671766,2.1323825756166545e-06,7.368607611187785e-05,3.687879227876988e-05
2017-05-29,0.0050451503925451,0.006441226468703867,0.0323846477029762,0.0009478400952973894,0.016816496376499408,0.003301729602763265
2017-05-30,9.292047524356292e-06,1.62284493083917e-05,0.003308875470770919,1.7709503051993146e-06,7.614278029358733e-05,4.201989928932291e-05
2017-05-31,7.3049376647182e-06,7.064686368396163e-06,0.0028644951325384246,1.7997867277504171e-06,6.888161505640002e-05,9.292873636583333e-05
2017-06-01,0.002051082244777,0.0026208430023294993,0.01410269032816028,0.0004102779601756268,0.009756849695936343,0.006895286780130976
2017-06-02,8.697791659728222e-06,1.5195479407573806e-05,0.0029398443912934925,1.6979777426552408e-06,7.48748607372848e-05,6.172840033274681e-05
2017-06-05,5.276235334887519e-06,9.219527492015243e-06,0.0034095144881665694,1.2011952188552147e-06,3.424052254406031e-05,1.7103523376900598e-05
2017-06-06,3.7396898422899806e-06,6.534601818040779e-06,0.0028475084483211978,1.0811324624039703e-06,3.739664403807964e-05,0.0001215525057507402
2017-06-07,5.0839045814016056e-06,8.880930732197039e-06,0.003932768867972798,1.3240205051612991e-06,3.535315399380037e-05,1.2345873075412803e-05
2017-06-08,5.453030494129748e-06,5.2867418706925276e-06,0.008998331595894728,1.8306496530437324e-06,7.379397846845412e-05,0.00018063793530259865
2017-06-09,0.0014618060189231,0.0025155870559432415,0.9812002476278909,0.00045143113580748507,0.05421691989785303,0.05905764242283255
2017-06-12,0.0012292333196404,0.0015710299236228015,0.9796508139476664,0.0006352980653813225,0.0756824776785767,0.16898560220398057
2017-06-13,4.475464386106022e-06,7.81782875784815e-06,0.008442320026199462,1.6540927798493423e-06,7.683498650503221e-05,0.00015313055542221833
2017-06-14,3.479181568693563e-06,3.3816688929448457e-06,0.0026097814954118338,1.8867273406687668e-06,5.763147360038342e-05,5.841048264317825e-05
2017-06-15,0.0008554121252343,0.0010935909882891666,0.010125120231433003,0.00038134604550257883,0.00873133617768444,0.010192277534692781
2017-06-16,8.08816212298253e-06,7.8524851865586e-06,0.0026291505461726187,2.922702782075025e-06,0.00014830305392967815,0.0003613143298493124
2017-06-19,0.0012094167921019,0.0020869658291119858,0.020224121940802857,0.0004372570992116311,0.017371537861583755,0.10731786327785489
2017-06-20,0.0007683581170044,0.000982132120477227,0.010988380668325293,0.0002596962498505397,0.009143563344500415,0.008018208383898431
2017-06-21,5.067452388507584e-06,8.851218042443523e-06,0.0027505958683402506,1.8010121401029147e-06,6.58151471044154e-05,4.1285184431629916e-05
2017-06-22,5.195229151347162e-06,5.028898457597669e-06,0.002746797269110327,1.9284126470549346e-06,6.202046701115214e-05,6.744691556042728e-05
2017-06-23,0.0018314673381493,0.003152211824060768,0.0203533196985509,0.00048076288939047216,0.011533641185234733,0.003731952834771605
2017-06-26,0.0011558910798451,0.001988674314930065,0.015476685505615219,0.00022594442139518817,0.009561419279008939,0.00414732454588148
2017-06-27,0.0013094127525063,0.001673250054703665,0.013137079321117715,0.0002544394516715007,0.009670605207262655,0.007985113894438962
2017-06-28,8.899227455468464e-05,1.6473425809525185e-05,0.011201096163938211,1.7442936824008024e-05,0.0004220959660961462,0.00013139279676946023
2017-06-29,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
2017-06-30,0.0004936572169762,9.140474668894748e-05,0.037149952380497224,0.00010519602753332252,0.0010685500769849925,0.00027948914017947405
2017-07-03,0.9999862123481844,0.9999892183306742,1.0,0.9999712757313347,1.0,1.0
2017-07-04,9.763208095444262e-05,9.429102901712043e-05,0.011840168930752732,2.000656093744995e-05,0.0003949797856312507,0.00014898001604405747
2017-07-05,0.0024408910997974,0.003118612472039827,0.015016984425754283,0.00040559715418253957,0.009855811321732586,0.007182193970465388
2017-07-06,1.0623009541799911e-05,1.8558239683361318e-05,0.003010940905534153,1.6652580535696055e-06,7.906252432862062e-05,7.8108394718903e-05
2017-07-07,6.328556598078915e-06,1.1057760616452432e-05,0.0036282770224846336,1.2211091825185014e-06,3.55421467636626e-05,1.5804546352607487e-05
2017-07-10,5.266925299109227e-06,9.196159809782373e-06,0.0029598967313924306,1.0403383490380128e-06,3.630595384446415e-05,6.30189170138125e-05
2017-07-11,6.584246062978648e-05,1.2185236437845312e-05,0.013646110499185177,1.2400266422750045e-05,0.00020482835286874228,4.452796592437118e-05
2017-07-12,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
2017-07-13,6.319631271116008e-05,0.00011039978133218984,0.010593880172464473,1.023406965836226e-05,0.00020376661058715871,0.0001554723342908078
2017-07-14,1.2642694900762075e-05,2.208547119935072e-05,0.006712998560541611,1.8190283717434353e-06,4.513499654871617e-05,6.2704619694721285e-06
2017-07-17,6.096177112946692e-06,5.899066284422141e-06,0.0035552575147183244,2.0956605653213085e-06,6.898159691849812e-05,3.602885885166846e-05
2017-07-18,0.0019050604182261,0.003266000351381509,0.01631060771537517,0.00020982988620834334,0.01204203570903393,0.03495844905118071
2017-07-19,0.0018586948142138,0.003190978152517298,0.020033989072326855,0.00017552204263532466,0.011029151984778487,0.004889971192884117
2017-07-20,0.0016105656815568,0.002758591661502985,0.056259878729240716,0.00016912766139787837,0.012189568162525439,0.005808419087677817
2017-07-21,0.0020599183499218,0.003527361607164611,0.9482677689136387,0.00031591882269530814,0.07443537411152526,0.18256639824028575
2017-07-24,0.0020523534825365,0.0035295149893190755,0.066379066696327,0.000206689582417129,0.013456972777309433,0.004732133691553098
2017-07-25,0.0012755971159047,0.0021911462715505582,0.016816284289016544,0.0001439223356358685,0.010229308925506943,0.006589499501665044
2017-07-26,0.0015803853111017,0.0020200924154681354,0.013915039382907122,0.00018040852378322235,0.010650148383376344,0.010866828532563487
2017-07-27,1.623740537598613e-05,1.564984850554857e-05,0.010400689856035672,2.352747726697714e-06,0.0001902842312217903,0.0002320747480211489
2017-07-28,0.002956992879333,0.003777391840987774,0.946087412998304,0.00046680501380345327,0.0565084973820567,0.06392083044116656
2017-07-31,8.771164919157111e-06,1.5324687041689444e-05,0.011518921981153507,1.5004039141136069e-06,9.095324015642779e-05,4.7155817773733684e-05
2017-08-01,3.880061026901425e-06,6.7798716596680946e-06,0.0032766400788061725,8.857229437001033e-07,4.267295891224621e-05,0.0001784862786915835
2017-08-02,4.689027432578074e-06,8.193218743107504e-06,0.0031309805017454228,8.161387169346123e-07,3.8539093458127025e-05,4.304354634697537e-05
2017-08-03,5.444026353574421e-06,9.512592497923101e-06,0.0034631314552546135,8.687659479967248e-07,3.9931630692369e-05,2.981963248143838e-05
2017-08-04,6.352497039241495e-06,1.10997519580913e-05,0.00416788878449614,9.693838140511002e-07,5.4717206808370225e-05,0.00032149574417545535
2017-08-07,6.112914797777654e-06,1.0680858683164686e-05,0.0035403866063247027,9.006533290569763e-07,4.0067093036292105e-05,2.7451182485210982e-05
2017-08-08,7.338213162340952e-06,1.2818713610868375e-05,0.004247550222811913,1.0471383409697818e-06,4.254419099331763e-05,1.7656111289023056e-05
2017-08-09,1.3278815953992236e-05,1.2385735741914712e-05,0.006125228498238088,2.269115151534868e-06,0.00014334279431616392,0.0015562627497711227
2017-08-10,0.0107379272624037,0.0030302009634817534,0.05359743354703016,0.001244550554420204,0.032400331649486455,0.07069546701371315
2017-08-11,0.9200722052375224,0.9516187189519903,1.0,0.6577632833253432,0.9999999954306986,0.9999999976589606
2017-08-14,0.0163706500575488,0.0270668377753662,0.9871227423777273,0.0023579884518374204,0.2142311276130885,0.41473631877815315
2017-08-15,0.0072620774222801,0.009265634508116143,0.12357143093146579,0.0005441155170631258,0.026148841951090344,0.003968760746450726
2017-08-16,1.9179045667728554e-05,3.3504124181016134e-05,0.005726841328619159,1.8428477805397316e-06,0.00013215112895909162,0.0005510416993708828
2017-08-17,9.693999457636333e-06,1.6936782349766132e-05,0.004089417843324827,1.080233811028655e-06,5.4101593016193804e-05,0.00025511707632845887
2017-08-18,1.0084192457452927e-05,1.7608879299870835e-05,0.0038397683352894485,1.0471830146056903e-06,5.006849099256084e-05,0.0001955227521115398
2017-08-21,1.938412541581261e-05,1.840442599757069e-05,0.011898111289747238,1.799064540132822e-06,8.485255786041699e-05,4.99326316369039e-05
2017-08-22,0.0064678592676548,0.00825669166842348,0.9497105721941258,0.000617110637498474,0.06541386251511586,0.10110442717564787
2017-08-23,4.409810515504349e-05,4.214070131599392e-05,0.013497862668917783,3.3413392944004e-06,0.0001825631153939121,6.072587402683178e-05
2017-08-24,0.005059070432879,0.006460765028115426,0.019854533195307805,0.00046673524857518975,0.010802759963145387,0.004358205010276117
2017-08-25,4.5271274803218816e-05,4.354786098691109e-05,0.004397713033429427,3.329630473795739e-06,0.00017436962926990865,5.171361641983626e-05
2017-08-28,0.0034881574950227,0.005749131650491265,0.019860446700980246,0.00030186502294501596,0.010374771347370726,0.006438143253665561
2017-08-29,0.0090171906884099,0.011502744915809883,0.048268217438995085,0.0006199715796224478,0.03651933934690669,0.28238623807080165
2017-08-30,3.937382739693964e-05,3.780595019764854e-05,0.004042915469027245,3.536459630449758e-06,0.00021547904928390384,0.0007797237918203951
2017-08-31,0.0039072463313235,0.0049900591017284016,0.014899685785960168,0.0003871406566794301,0.010191554991044837,0.01740900084214789
2017-09-01,2.161822880691857e-05,3.775933830761847e-05,0.0037335198125443042,2.0309927850625298e-06,0.00010330883431007545,0.00035907571919126734
2017-09-04,9.111255324620316e-06,1.5916444582676664e-05,0.0026042292554284965,1.0267678879133653e-06,3.1350533064130004e-05,5.2120356322019954e-05
2017-09-05,1.362644884148843e-05,2.3804052061022934e-05,0.0038838927116202826,1.31371284488866e-06,3.1970081924677336e-05,9.297736438574847e-06
2017-09-06,1.3437765942725672e-05,2.346171326759679e-05,0.0037922795048940584,1.3060629757690453e-06,3.1537165338031894e-05,9.731634691926054e-06
2017-09-07,2.025846975859268e-05,1.9485694954681022e-05,0.0036264225646454036,1.933456189541827e-06,6.707608707746348e-05,4.093793553563191e-05
2017-09-08,0.0033797424607236,0.0042133346246840606,0.06957014885046928,0.0007967146379248569,0.031113509477149703,0.0018773483260212554
2017-09-11,0.0699457130429422,0.08772727774334675,0.9999997225850551,0.019842933337891066,0.9972697540338782,0.9993568636936394
2017-09-12,1.0164301648255615e-05,1.774192905001637e-05,0.005978396953518406,1.317139925873045e-06,0.00012185916125053983,9.546486261160872e-05
2017-09-13,1.009013896048268e-05,9.50436430109032e-06,0.0075739058988214605,1.6048133062633394e-06,5.1305560166010004e-05,2.449797545232427e-05
2017-09-14,0.0084103333424137,0.014411397806855087,0.9674685038414758,0.000474831855883388,0.06976200598119085,0.023588009774023058
2017-09-15,0.0011388682805958,0.0019532449440729832,0.03383580232720217,0.0001774820604670117,0.007968894178299074,0.0015749051776742194
2017-09-18,0.0018767752429308,0.0023991812693459863,0.011064958070582057,0.00017759919907288935,0.008309137962822495,0.005077106523253024
2017-09-19,3.542767659357178e-05,3.3651802293909964e-05,0.004118160113478665,3.541504855001663e-06,0.00014263672455639104,2.720093438141514e-05
2017-09-20,0.0065371500930546,0.008343551277027595,0.030614560061803558,0.0010069766354120608,0.01575263916672212,0.0014849435918386751
2017-09-21,1.1427535201450128e-05,1.9946731493393214e-05,0.0022831898586259656,1.201491657942284e-06,5.889709532813147e-05,3.296264101749668e-05
2017-09-22,1.4147294675715503e-05,1.3689824370185503e-05,0.003240551495445918,1.7994620774856862e-06,6.119356723052444e-05,1.97525142410216e-05
2017-09-25,0.0019609987215676,0.003322389079872499,0.013699829276277647,0.0001848615037223229,0.008265068959280376,0.005577547444300833
2017-09-26,0.0040084554763575,0.006679283788597579,0.09028600604586194,0.00032005100026502603,0.015874633692276995,0.0017940744149655416
2017-09-27,0.0069028226726204,0.01174108749378988,0.9687052810928128,0.00025335488199101805,0.0716698009478587,0.02565577710065284
2017-09-28,0.0027226360132215,0.0034785277755251262,0.045689246227084715,0.00020954183920079836,0.010584027792883944,0.0032559155279090553
2017-09-29,1.4760029806860907e-05,2.5780038048599692e-05,0.0027515934575140883,1.198543536759894e-06,7.525760438548337e-05,9.472633645958204e-05
