date,category,systemic,prob_logit,prob_probit
2017-05-23,Absorbed,0,0.37758769613641324,0.36639888119701314
2017-06-05,Localized,0,0.46011159004217034,0.43334703382486406
2017-06-19,Absorbed,0,0.176067759947596,0.17803975849622533
2017-07-10,Systemic,1,0.092406443755017,0.09101682499286184
2017-08-17,Absorbed,0,0.12306331161441962,0.12537538010199495
2017-08-18,Absorbed,0,0.16937990068709893,0.17244122627713654
2017-08-24,Localized,0,0.17116802891477953,0.17302302151651666
2017-09-06,Absorbed,0,0.09714555808122038,0.09707730662306008
2017-10-30,Absorbed,0,0.12187015605849073,0.12458690649747661
2017-11-01,Absorbed,0,0.11036081496990839,0.1114772344733152
2017-11-20,Absorbed,0,0.06498270056293445,0.06083881200027816
2017-11-27,Localized,0,0.030394515842439095,0.022689648068136732
2017-12-25,Absorbed,0,0.042200783340733336,0.03528164891813894
2018-01-29,Systemic,1,0.060344251797602284,0.05465077497649562
2018-02-05,Systemic,1,0.08567628355532596,0.08702739684006272
2018-03-05,Systemic,1,0.8552745837634346,0.8441029784047622
2018-03-26,Absorbed,0,0.4611908688751733,0.45146647813733615
2018-04-09,Absorbed,0,0.28971768854712054,0.29448419592809005
2018-04-16,Absorbed,0,0.12894952824109068,0.132695308559805
2018-04-25,Absorbed,0,0.3384124103751265,0.3373721317155181
2018-05-07,Absorbed,0,0.24031207841044416,0.24537603863826524
2018-05-14,Absorbed,0,0.22757313208037744,0.23117365575704885
2018-09-03,Localized,0,0.19188948815534587,0.19862811370447275
2018-10-08,Systemic,1,0.16808530186730075,0.1745741485010856
2018-11-12,Absorbed,0,0.19859011863199164,0.20163770728806635
2018-12-12,Systemic,1,0.3414777769812551,0.34563916618400947
2018-12-17,Systemic,1,0.25767679022160234,0.2617056014643943
2019-01-14,Systemic,1,0.2715278645997535,0.2748839312089453
2019-02-11,Systemic,1,0.32148356082675944,0.32298278053719837
2019-04-19,Absorbed,0,0.12033580323756614,0.12091634995439787
2019-05-06,Systemic,1,0.04787751074843944,0.03933906280663191
2019-07-22,Absorbed,0,0.12405138265401694,0.1269848916208114
2019-08-12,Systemic,1,0.2179921943230262,0.22467574554356712
2019-08-26,Localized,0,0.24895848234061255,0.25372360273885963
2019-09-02,Absorbed,0,0.32538506216651,0.3278767933729037
2019-11-18,Localized,0,0.19366607526939061,0.1986999776148815
2019-12-30,Localized,0,0.1343027795898276,0.13584704489098126
2021-03-03,Absorbed,0,0.15331805585820585,0.1565855245783357
2021-04-26,Absorbed,0,0.10000809754323865,0.099644597679236
2021-05-04,Localized,0,0.095299136255424,0.09506280458063088
2021-05-17,Absorbed,0,0.25529999373907525,0.26141461535420984
2021-08-16,Systemic,1,0.20387383384535052,0.20509782239155128
2021-09-06,Localized,0,0.23541738422680486,0.24042333982446046
2021-09-13,Systemic,1,0.23220731082045215,0.23637101830327634
2021-11-11,Absorbed,0,0.15142141110707813,0.15470838242477802
2021-11-15,Localized,0,0.1296001181657545,0.13178168588419842
2021-11-18,Localized,0,0.10886783650321995,0.10898507577569405
2021-12-27,Absorbed,0,0.15905132683787182,0.16194632548725268
2022-02-21,Systemic,1,0.509774548859765,0.4963910453514942
2022-02-24,Systemic,1,0.0019094011718192663,0.00011895722468921764
2022-03-02,Systemic,1,0.9947748498716995,0.9986258383232275
2022-03-14,Systemic,1,0.524639497085957,0.5140318629576913
2022-04-25,Systemic,1,0.5969978331420822,0.5775926489276155
2022-05-02,Systemic,1,0.383304253184983,0.3783187993868967
2022-05-09,Systemic,1,0.6088187352805479,0.5843810855729206
2022-06-27,Systemic,1,0.5536150324625432,0.5375893975058856
2022-06-29,Systemic,1,0.37044555498250226,0.3670718228056987
2022-08-08,Absorbed,0,0.22382349107075677,0.22955516149510247
2022-08-22,Localized,0,0.22150090864450475,0.22802227621884008
2022-09-01,Systemic,1,0.2423661525698923,0.24825414508849214
2022-09-05,Absorbed,0,0.3404715993589456,0.3496919950769809
2022-09-21,Systemic,1,0.31301385353551187,0.31663796994126775
2022-10-10,Absorbed,0,0.42730551873156836,0.4210445900068148
