variable,coef_std,se_std,z_stat,p_value,ci95lo,ci95hi,coef_raw,odds_ratio,model
const,-1.308400559980169,0.23235316772356884,-5.631085527255546,1.7907888904021425e-08,-1.7638044004121585,-0.8529967195481795,,,logit
EMFI_lag,1.8452942776120465,0.6634081919401018,2.781536767303976,0.005410220198386774,0.5450381143606116,3.1455504408634813,1.4378088414622388,6.329962282528608,logit
TCI_lag,-0.6389412925142798,0.5033020632841839,-1.269498655231041,0.20426326986287668,-1.6253952098959794,0.34751262486741974,-0.06220188240551146,0.52785096809476,logit
P_stress_lag,-0.3801419641198413,0.34151333227506103,-1.1131101722660364,0.26566111540401194,-1.0494957956192215,0.2892118673795388,-1.3981564694825723,0.6837643323201844,logit
max_shock,-0.5326340353814226,0.382947377882282,-1.3908804868358553,0.16426167089499244,-1.2831971040047458,0.2179290332419006,-1.6871306754611364,0.5870566034834436,logit
n_countries,0.5948287011774954,0.36683534695058806,1.6215141373975,0.10490742050604801,-0.12415536710191233,1.313812769456903,0.24740412055300634,1.812720401492745,logit
