date,category,systemic,prob_qrt
2025-03-17,Absorbed,0,0.3253345780553404
2025-03-18,Absorbed,0,0.11933247257762952
2025-03-24,Systemic,1,0.15954490471823865
2025-04-25,Systemic,1,0.5116557280087323
2025-04-28,Systemic,1,0.4266451327663256
2025-05-05,Systemic,1,0.4795133020328925
2025-05-19,Absorbed,0,0.36982790143763367
2025-06-02,Absorbed,0,0.4522287662346285
2025-07-02,Localized,0,0.6435226614610646
2025-07-14,Absorbed,0,0.45039141452691295
2025-07-31,Localized,0,0.14819974614490372
2025-08-12,Absorbed,0,0.16925548952552838
2025-08-15,Localized,0,0.10199270695012642
2025-08-25,Absorbed,0,0.2894264305389284
2025-09-02,Absorbed,0,0.1647737762809527
2025-09-15,Absorbed,0,0.07822401212325057
2025-09-29,Absorbed,0,0.08856252838247337
2025-10-06,Absorbed,0,0.05197335422799294
2025-10-13,Absorbed,0,0.10697982428281486
