variable,coef_std,se_std,p_value,odds_ratio
const,-1.3333062414976111,0.2365081978804248,1.725735549027253e-08,
EMFI_qrt_lag,1.418903555287553,0.4941038347275276,0.004083080650392859,4.132586802315786
TCI_lag,-0.17943447545692465,0.3552425221369834,0.6134856802543424,0.8357427108083348
P_stress_lag,-0.18404627705189222,0.2834621713140932,0.516157505317085,0.8318973051811158
max_shock,-0.6401929829851795,0.38946878766546206,0.10022590959502431,0.5271906753951889
n_countries,0.6707651983674793,0.3633692747187885,0.06489799282697192,1.9557332721201806
