variable,coef_std,se_std,z_stat,p_value,ci95lo,ci95hi,coef_raw,odds_ratio,model
const,-0.7776607626345716,0.12891817836848474,-6.032204088486237,1.6173833015766806e-09,-1.0303357491893124,-0.5249857760798309,,,probit
EMFI_lag,1.0561864518773025,0.3684088825581849,2.866886499975996,0.004145316485394249,0.3341183104786136,1.7782545932759914,0.8229550360428123,,probit
TCI_lag,-0.37135592674090995,0.2845290214432473,-1.3051601023236263,0.19183833666284744,-0.9290225613260994,0.18631070784427956,-0.036152050206101786,,probit
P_stress_lag,-0.21094183217217002,0.20014479869854498,-1.0539461107349952,0.29190759015386303,-0.6032184293143372,0.1813347649699972,-0.7758409099055656,,probit
max_shock,-0.29732938298593414,0.22413889709266682,-1.326540760406293,0.18466064320778297,-0.7366335488220905,0.14197478285022225,-0.941797724946884,,probit
n_countries,0.3260377098258092,0.2196321832186603,1.4844714697445511,0.13768388658711747,-0.10443345912866742,0.7565088787802858,0.1356072306310938,,probit
