horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,0.9820745984655976,0.46253317988660336,2.123252214481926,0.03373272265133036,0.22120751755213508,1.7429416793790602,0.07550956588785507,1.8886396310433402,2174
-4,0.8150628973463332,0.36801782423475915,2.2147375580004605,0.026778083344330152,0.2096735764801544,1.420452218212512,0.09374796184620526,1.536377832846461,2175
-3,0.13305466381825592,0.10721371425811295,1.2410227995453256,0.21459732647823726,-0.04331189613633987,0.30942122377285175,-0.07708421612764546,0.34319354376415734,2176
-2,0.1291207204032108,0.09065316442700311,1.424337707562134,0.15434873699336607,-0.020003735079209328,0.2782451758856309,-0.04855948187371528,0.30680092268013687,2177
-1,-0.11801796083284649,0.09269200450858582,-1.2732269785137162,0.20293750982457326,-0.27049630824947013,0.034460386583777175,-0.2996942896696747,0.06365836800398172,2177
0,0.39631793712954533,0.3699715068291009,1.0712120523178952,0.2840740936329996,-0.21228519160432568,1.0049210658634165,-0.32882621625549247,1.1214620905145831,2178
1,0.5625852617292838,0.3534646589211285,1.5916308675567423,0.11146767014445386,-0.018864102195972565,1.1440346256545402,-0.130205469756128,1.2553759932146957,2177
2,0.43909657268781555,0.31251369707050597,1.4050474484923179,0.16000716934722015,-0.07498845899316675,0.9531816043687978,-0.1734302735703761,1.0516234189460072,2176
3,0.3380736560877185,0.3016726904451943,1.1206637749966872,0.2624310072787809,-0.15817791969462613,0.8343252318700631,-0.25320481718486226,0.9293521293602993,2175
4,0.9832890333393328,0.5515225525129165,1.782862783868307,0.07460864254269066,0.07603443445558522,1.8905436322230804,-0.09769516958598345,2.064273236264649,2174
5,0.8844457545661208,0.5416788820184291,1.6327861098635743,0.10251398941513491,-0.006616006354195014,1.7755075154864368,-0.17724485419000002,1.9461363633222417,2173
6,1.0640609447362968,0.5402065830253665,1.9697296889222315,0.04886935850796107,0.17542111565956886,1.9527007738130246,0.005256042006578365,2.122865847466015,2172
7,0.9778370715468767,0.5949916289287939,1.6434467713560055,0.10029052983348646,-0.0009241580409892203,1.9565983011347425,-0.18834652115355932,2.1440206642473125,2171
8,1.0554023193666668,0.6155029168968166,1.7146991352822385,0.08640040219949538,0.04290002107140367,2.06790461766193,-0.1509833977510937,2.261788036484427,2170
9,1.0638262301044579,0.5939165878188554,1.7912047784543863,0.07326043968819874,0.08683344314244079,2.040819017066475,-0.10025028202049868,2.227902742229414,2169
10,0.9204967934334967,0.5930866917778568,1.552044256252293,0.12065163457390637,-0.05513081454107771,1.8961244014080711,-0.24195312245110268,2.082946709318096,2168
11,0.9019217368199799,0.6069214162351935,1.486060159838664,0.1372632090397886,-0.09646399288691332,1.900307466526873,-0.2876442390009992,2.091487712640959,2167
12,0.8081512858350614,0.5974778097196061,1.3526046870499233,0.1761819542853995,-0.17469971115369065,1.7910022828238135,-0.3629052212153666,1.9792077928854894,2166
13,1.0206105019104978,0.5992182034078338,1.7032368110750806,0.08852376040717666,0.034896557304611164,2.0063244465163845,-0.15385717676885635,2.195078180589852,2165
14,1.005108820241479,0.6474385741198919,1.5524388882880404,0.12055724454110713,-0.059927634185743095,2.0701452746687012,-0.26387078503350914,2.2740884255164673,2164
15,0.9371151486191197,0.6816759451357327,1.374722337360056,0.1692175433658588,-0.18424178112916068,2.0584720783674,-0.3989697038469163,2.2732000010851556,2163
