outcome,beta_k0,beta_k1,beta_k5,peak_horizon,peak_beta,peak_pval,n_sig_pre
EMFI,0.45824105040491986,0.4309212156408282,0.1557342779936189,9,0.6109627916611783,0.08689321599608145,1
tci_w100,0.39631793712954533,0.5625852617292838,0.8844457545661208,6,1.0640609447362968,0.04886935850796107,2
TailVolBreadth,0.9501216245556094,1.1708882289198286,0.2696899177641459,6,1.2851388895836722,0.14292196869916976,1
P_stress,0.10602210319472119,0.020286175104710345,0.03455173500599093,4,0.11412976828535056,0.13302536506884047,0
AvgCorr60,0.002879527704566828,0.003548772277817479,-0.0009778424092205195,15,0.004508156864267003,0.687600493542488,0
