date,P_stress
2017-06-29,1.0
2017-07-03,0.9999862123481844
2017-08-11,0.9200722052375224
2017-12-04,0.9153518384583448
2018-01-04,1.0
2018-02-09,0.5500567487375513
2018-02-12,0.998378761624495
2018-03-19,0.996672822962978
2018-05-29,1.0
2018-06-25,1.0
2018-08-10,0.999999999703732
2018-08-15,0.9999999999897682
2018-10-16,1.0
2018-10-23,1.0
2018-10-31,0.9999999999122338
2018-11-20,0.999999999896545
2018-12-03,0.999999999927013
2018-12-06,1.0
2018-12-27,0.8338161685369198
2018-12-28,0.9989780148973056
2019-01-04,1.0
2019-01-18,0.999998215645974
2019-02-15,0.9913390246985878
2019-03-22,1.0
2019-05-23,1.0
2019-07-30,0.9514659512007804
2019-08-02,1.0
2019-08-05,1.0
2019-10-02,1.0
2019-10-11,0.99999999997317
2019-11-04,0.9889944349469147
2019-12-02,0.999995280147229
2020-01-27,1.0
2020-02-04,1.0
2020-03-09,1.0
2020-03-10,0.9999997094760568
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,1.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,1.0
2020-03-26,0.9999983032108346
2020-03-27,1.0
2020-03-30,0.9272251385361142
2020-04-09,0.9998805771889564
2020-04-10,0.9977093255984888
2020-04-14,0.9508391222601792
2020-04-15,1.0
2020-04-17,0.995256226941054
2020-04-21,1.0
2020-04-22,0.9112279677231832
2020-04-28,0.5319714955890488
2020-04-29,0.999999999537522
2020-04-30,0.99868754661648
2020-05-04,1.0
2020-05-14,0.9999905010698554
2020-05-18,1.0
2020-05-19,0.6794774818689506
2020-06-02,0.5660613583768963
2020-06-03,0.9999999936610492
2020-06-05,0.9999999781955468
2020-06-11,1.0
2020-06-16,0.9999999983288036
2020-06-24,0.9999722053773592
2020-07-02,0.9959625415971388
2020-07-30,0.9948013443965424
2020-09-21,1.0
2020-09-28,0.9904956583165908
2020-10-28,0.9999999999986358
2020-12-21,0.9996710767819812
2021-01-06,0.902172386986132
2021-05-11,0.9954486890312468
2021-07-08,0.8195612352982311
2021-07-19,1.0
2021-07-21,0.5577822711758842
2021-09-20,1.0
2021-09-28,0.9999985228955206
2021-11-26,1.0
2021-12-01,0.9802479241418836
2021-12-06,0.5143326078995211
2021-12-07,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-26,1.0
2022-02-09,0.9999998034691282
2022-02-14,1.0
2022-02-15,0.981654771853688
2022-03-08,0.9998412603421152
2022-03-29,1.0
2022-04-06,0.999777122975248
2022-05-13,0.999790470390838
2022-06-10,1.0
2022-06-13,0.9999999999893134
2022-06-16,1.0
2022-07-05,0.9999999999520242
2022-07-07,0.8014987197487099
2022-07-14,0.6634321260988197
2022-09-29,0.9976967523892016
2022-10-04,1.0
2022-11-04,0.998966698024179
2023-03-13,1.0
2023-03-14,0.9083413248947704
2023-03-15,1.0
2023-03-21,0.9938963009498806
2023-03-24,0.9999999785891308
2023-03-30,0.7350136036919889
2023-05-24,0.5804642046639127
2023-07-06,0.999999999999318
2023-11-14,0.9999999998829026
2023-12-14,0.9999942366864712
2024-05-29,0.8890131666930335
2024-06-04,0.8429345093339122
2024-06-13,0.9999999999088232
2024-06-14,0.9999965834514726
2024-09-19,0.9999994492388092
2024-09-20,0.7880129879380465
2024-11-12,1.0
2024-12-19,0.99907062079082
2025-02-06,0.9628179230282088
2025-02-13,0.893376619446224
2025-02-19,0.858304352503285
2025-03-31,1.0
2025-04-03,1.0
2025-04-04,1.0
2025-04-07,1.0
2025-04-08,1.0
2025-04-09,1.0
2025-04-10,1.0
2025-04-11,0.8225242746022703
2025-04-14,1.0
2025-04-15,1.0
2025-05-12,0.9183107379682496
