check_id,check_name,outcome,shock,horizon,beta,se,ci95_lo,ci95_hi,nobs
R00,Baseline,EMFI,max_shock,0,0.45824105040491986,0.3367416584893181,-0.20177260023414362,1.1182547010439834,2178.0
R00,Baseline,EMFI,max_shock,1,0.4309212156408282,0.32608021466086895,-0.2081960050944749,1.0700384363761313,2177.0
R00,Baseline,EMFI,max_shock,5,0.1557342779936189,0.1761496220306786,-0.18951898118651114,0.500987537173749,2173.0
R00,Baseline,EMFI,max_shock,10,0.09793567327899373,0.10062907525966078,-0.09929731422994138,0.29516866078792886,2168.0
R00,Baseline,EMFI,max_shock,20,0.01909482069288368,0.17410987934534786,-0.3221605428239981,0.3603501842097655,2158.0
R01,COVID exclusion,EMFI,max_shock,0,0.3697374991538482,0.489223221554673,-0.5891400150933108,1.3286150134010073,1960.0
R01,COVID exclusion,EMFI,max_shock,1,0.5364764773460131,0.40821981775216515,-0.2636343654482306,1.3365873201402567,1959.0
R01,COVID exclusion,EMFI,max_shock,5,0.14952254986858524,0.2623122446062785,-0.36460944955972063,0.6636545492968912,1955.0
R01,COVID exclusion,EMFI,max_shock,10,0.11184517534453363,0.16657533020936974,-0.21464247186583102,0.4383328225548983,1950.0
R01,COVID exclusion,EMFI,max_shock,20,-0.00795904252635908,0.16379476243305421,-0.32899677689514534,0.31307869184242715,1940.0
R01,COVID exclusion,P_stress,max_shock,0,0.0034385339593833997,0.06370102207950544,-0.12141546931644726,0.12829253723521405,1960.0
R01,COVID exclusion,P_stress,max_shock,1,0.034490267631153634,0.06507700371536851,-0.09306065965096864,0.1620411949132759,1959.0
R01,COVID exclusion,P_stress,max_shock,5,0.060296683948425064,0.06923009695093024,-0.0753943060753982,0.1959876739722483,1955.0
R01,COVID exclusion,P_stress,max_shock,10,0.054048683178605055,0.07114000294268265,-0.08538572258905291,0.19348308894626304,1950.0
R01,COVID exclusion,P_stress,max_shock,20,0.027435652143037247,0.0787109570506117,-0.12683782367616167,0.18170912796223618,1940.0
R01,COVID exclusion,tci_w100,max_shock,0,0.37386307795455354,0.4419700023880578,-0.49239812672603966,1.2401242826351466,1960.0
R01,COVID exclusion,tci_w100,max_shock,1,0.6126035107262522,0.4020704950335207,-0.1754546595394484,1.4006616809919528,1959.0
R01,COVID exclusion,tci_w100,max_shock,5,0.11186441908962752,0.46581365574757866,-0.8011303461756266,1.0248591843548818,1955.0
R01,COVID exclusion,tci_w100,max_shock,10,0.22806179716822422,0.5986297229100676,-0.9452524597355083,1.4013760540719566,1950.0
R01,COVID exclusion,tci_w100,max_shock,20,-0.08745235104247984,0.9307402932842248,-1.9117033258795604,1.7367986237946007,1940.0
R02,Ukraine exclusion,EMFI,max_shock,0,0.08250721107942079,0.20817205000479533,-0.32551000692997806,0.4905244290888196,2070.0
R02,Ukraine exclusion,EMFI,max_shock,1,0.09500355260620108,0.1259003809168957,-0.1517611939909145,0.34176829920331664,2069.0
R02,Ukraine exclusion,EMFI,max_shock,5,-0.0064174120711060776,0.1643482227727302,-0.3285399287056573,0.31570510456344514,2065.0
R02,Ukraine exclusion,EMFI,max_shock,10,0.06948014565098787,0.13443566453554653,-0.19401375683868333,0.33297404814065906,2060.0
R02,Ukraine exclusion,EMFI,max_shock,20,0.16081078730643536,0.16528529199444822,-0.16314838500268317,0.4847699596155539,2050.0
R03,EMFI_3comp (no TCI),EMFI_3comp,max_shock,0,0.5187954406326732,0.4220508968405492,-0.3084243171748031,1.3460151984401496,2178.0
