check_id,check_name,outcome,horizon,beta,theta,irf_p0,irf_p9,amplification,nobs,se_theta,irf_normal,irf_fragile
R03,EMFI_3comp (no TCI),EMFI_3comp,0,0.41966262322635667,1.4319172462922547,0.41966262322635667,1.708388144889386,4.070860854262734,2178.0,,,
R03,EMFI_3comp (no TCI),EMFI_3comp,1,0.4018680264905535,1.0203740874673386,0.4018680264905535,1.3202047052111583,3.285169802485373,2177.0,,,
R03,EMFI_3comp (no TCI),EMFI_3comp,5,-0.0059506358992495074,1.4149992757382044,-0.0059506358992495074,1.2675487122651343,-213.01063175869947,2173.0,,,
R03,EMFI_3comp (no TCI),EMFI_3comp,10,-0.06645230238399413,0.9463417873167734,-0.06645230238399413,0.785255306201102,-11.816826175013622,2168.0,,,
R03,EMFI_3comp (no TCI),EMFI_3comp,20,0.054048311599313226,-1.867558920004377,0.054048311599313226,-1.6267547164046259,-30.098159743907644,2158.0,,,
R04,AcuteEMFI (vol only),AcuteEMFI,0,0.48971430617029366,0.724049557608517,0.48971430617029366,1.141358908017959,2.3306627836619946,2178.0,,,
R04,AcuteEMFI (vol only),AcuteEMFI,1,0.4768929474252953,0.21244418473332166,0.4768929474252953,0.6680927136852848,1.4009280642380242,2177.0,,,
R04,AcuteEMFI (vol only),AcuteEMFI,5,0.046380320066281185,0.6178870624849797,0.046380320066281185,0.602478676302763,12.989963748455654,2173.0,,,
R04,AcuteEMFI (vol only),AcuteEMFI,10,-0.03826044548887567,0.17036184504516438,-0.03826044548887567,0.11506521505177228,-3.0074196361677963,2168.0,,,
R04,AcuteEMFI (vol only),AcuteEMFI,20,0.059873870243680266,-2.5508584365450973,0.059873870243680266,-2.2358987226469074,-37.343480779629544,2158.0,,,
R05,EqualWeight EMFI,EqWtEMFI,0,0.1550256297807389,0.9389286086684773,0.1550256297807389,1.0000613775823686,6.450942202246231,2178.0,,,
R05,EqualWeight EMFI,EqWtEMFI,1,0.1434834897372967,0.9519835104150239,0.1434834897372967,1.0002686491108181,6.97131531259942,2177.0,,,
R05,EqualWeight EMFI,EqWtEMFI,5,-0.011022872252893057,1.1373795831232338,-0.011022872252893057,1.0126187525580175,-91.86523524231592,2173.0,,,
R05,EqualWeight EMFI,EqWtEMFI,10,-0.030545351814690584,0.9766934169151533,-0.030545351814690584,0.8484787234089475,-27.777670676586453,2168.0,,,
R05,EqualWeight EMFI,EqWtEMFI,20,0.011507366343585118,-0.18558910693685193,0.011507366343585118,-0.15552282989958163,-13.515067240931213,2158.0,,,
R06,HF p66 threshold,EMFI,0,-0.29622478675011005,1.2318336480411134,,,,2178.0,0.42228322055452777,-0.29622478675011005,0.9356088612910034
R06,HF p66 threshold,EMFI,1,0.12294797094899172,0.47999353024306973,,,,2177.0,0.528521389383663,0.12294797094899172,0.6029415011920615
R06,HF p66 threshold,EMFI,5,-0.22976593157930722,0.6192113634926698,,,,2173.0,0.22582284305433561,-0.22976593157930722,0.38944543191336256
R06,HF p66 threshold,EMFI,10,-0.044957916883214544,0.19478991707302612,,,,2168.0,0.1759674875948381,-0.044957916883214544,0.14983200018981158
R06,HF p66 threshold,EMFI,20,0.0488394761714025,-0.08842403530917409,,,,2158.0,0.339626876814267,0.0488394761714025,-0.039584559137771584
R07,HF p90 threshold,EMFI,0,0.4662613781342653,-0.11162589398732445,,,,2178.0,0.8230870997530682,0.4662613781342653,0.3546354841469409
R07,HF p90 threshold,EMFI,1,0.4752556220090727,-0.8000262704520483,,,,2177.0,0.703841639400598,0.4752556220090727,-0.32477064844297565
R07,HF p90 threshold,EMFI,5,0.1543617877234614,0.09251174018303042,,,,2173.0,0.8279109769787398,0.1543617877234614,0.2468735279064918
R07,HF p90 threshold,EMFI,10,0.0437571670490655,1.1036437794198242,,,,2168.0,1.0495510551530418,0.0437571670490655,1.1474009464688897
R07,HF p90 threshold,EMFI,20,-0.01046487013945998,0.5669622761550528,,,,2158.0,0.894157758315304,-0.01046487013945998,0.5564974060155928
R11,TCI W=60 EMFI,EMFI_tci60,0,0.2845516636950893,1.944303548402787,0.2845516636950893,2.034424857257598,7.149579906999178,2178.0,,,
R11,TCI W=60 EMFI,EMFI_tci60,1,0.2571986444709677,2.0121579187906016,0.2571986444709677,2.068140771382509,8.041025160286017,2177.0,,,
R11,TCI W=60 EMFI,EMFI_tci60,5,-0.04746915836997158,2.223022310292549,-0.04746915836997158,1.9532509208933224,-41.14778917439003,2173.0,,,
R11,TCI W=60 EMFI,EMFI_tci60,10,-0.054481282035230165,1.7689024894546301,-0.054481282035230165,1.5375309584739372,-28.22126978362398,2168.0,,,
R11,TCI W=60 EMFI,EMFI_tci60,20,0.11524211150943026,-1.3533249932293152,0.11524211150943026,-1.1027503823969536,-9.568988002330341,2158.0,,,
R12,TCI W=150 EMFI,EMFI_tci150,0,0.39182280484611814,1.55393864316029,0.39182280484611814,1.7903675836903792,4.569329711152254,2128.0,,,
R12,TCI W=150 EMFI,EMFI_tci150,1,0.35160287601704376,1.4807214409894727,0.35160287601704376,1.6842521729075692,4.790211593223503,2127.0,,,
R12,TCI W=150 EMFI,EMFI_tci150,5,-0.04403309768687763,2.106637327853068,-0.04403309768687763,1.8519404973808835,-42.057919943542444,2123.0,,,
R12,TCI W=150 EMFI,EMFI_tci150,10,-0.09531032818543517,1.7910311849475307,-0.09531032818543517,1.5166177382673425,-15.912417543213373,2118.0,,,
R12,TCI W=150 EMFI,EMFI_tci150,20,0.00126051252332611,-0.5718395516938555,0.00126051252332611,-0.5133950840011438,-407.2907444397696,2108.0,,,
