horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,-0.013588664518075626,0.040036335744101474,-0.3394082966265871,0.7343021693450622,-0.07944843681712255,0.0522711077809713,-0.09205988257651451,0.06488255354036326,2174
-4,0.0037446830180651518,0.05506935659604558,0.06799939657065196,0.9457861146410589,-0.08684440858242984,0.09433377461856013,-0.10419125591018419,0.11168062194631448,2175
-3,0.016450334439513055,0.09573803452786733,0.17182653185474273,0.8635739063301315,-0.14103873235882872,0.1739394012378548,-0.17119621323510692,0.20409688211413302,2176
-2,-0.0071309180124686155,0.03679285703118965,-0.19381256547768685,0.8463226477433454,-0.06765516782877559,0.053393331803838366,-0.07924491779360032,0.0649830817686631,2177
-1,-0.05093687145759111,0.034904225385935926,-1.4593325276347566,0.14447360681591861,-0.10835432221745571,0.006480579302273484,-0.11934915321402553,0.017475410298843308,2177
0,-0.002715302653928728,0.07443992838846354,-0.03647642753978706,0.9709024742964754,-0.12516898485295125,0.1197383795450938,-0.14861756229531725,0.1431869569874598,2178
1,0.02002117691589041,0.0749839505355645,0.26700616295742474,0.7894644159543696,-0.10332742171511321,0.14336977554689403,-0.126947366133816,0.16698971996559683,2177
2,-0.014617965080583882,0.07389752903181444,-0.19781399015778375,0.8431905999000793,-0.13617940033791864,0.10694347017675088,-0.15945712198294018,0.13022119182177241,2176
3,0.010667021578780685,0.07462099765092971,0.14294932947265124,0.8863301993068426,-0.11208451955699868,0.13341856271456004,-0.13559013381704155,0.15692417697460292,2175
4,-0.008110137148119971,0.07171654031921859,-0.11308600654773383,0.9099623689791199,-0.12608384597323455,0.10986357167699462,-0.1486745561737884,0.13245428187754846,2174
5,0.03548420160745779,0.0731906813946618,0.4848185715899873,0.627805047722936,-0.08491446928676086,0.15588287250167646,-0.10796953392607933,0.17893793714099493,2173
6,0.050470528708088255,0.07106446442593789,0.7102076841891595,0.47757535643809845,-0.06643051527257958,0.16737157268875608,-0.08881582156675001,0.18975687898292654,2172
7,-0.03666467358509361,0.08144848883109741,-0.4501578127634317,0.6525966531042358,-0.17064743771224883,0.09731809054206163,-0.19630371169404454,0.12297436452385731,2171
8,0.10296185903572896,0.08266325396051348,1.2455577793358064,0.21292679074999388,-0.03301919372931572,0.23894291180077365,-0.05905811872687747,0.2649818367983354,2170
9,0.0397708215799933,0.0663284495586304,0.5996042700325486,0.5487700007284784,-0.06933947794395372,0.1488811211039403,-0.0902329395549223,0.16977458271490892,2169
10,0.020231432808659702,0.0697006103653446,0.2902619174009249,0.771615870769841,-0.09442607124233217,0.1348889368596516,-0.1163817635074157,0.15684462912473512,2168
11,0.023282111356013036,0.07459929084628036,0.31209561232945576,0.7549678609733149,-0.09943372208611817,0.14599794479814424,-0.12293249870269647,0.16949672141472255,2167
12,0.009885262158105975,0.06702104493622336,0.14749489757303402,0.88274140683227,-0.10036435676198145,0.12013488107819341,-0.12147598591689182,0.14124651023310378,2166
13,-0.01328991414326821,0.059795951028516196,-0.22225441546920727,0.8241158358052303,-0.11165425358517736,0.08507442529864093,-0.13048997815915994,0.10391014987262354,2165
14,0.025969108492391292,0.07105561066710293,0.3654758329227107,0.7147562435222863,-0.09091737105499303,0.14285558803977563,-0.11329988841513047,0.16523810539991304,2164
15,-0.07111119863654329,0.042568365532547545,-1.6705174781064134,0.09481702430650644,-0.141136159937584,-0.001086237335502574,-0.15454519508033648,0.012322797807249888,2163
