horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,-0.07447267985504484,0.14333879064112492,-0.519557054457791,0.6033723370513415,-0.31026499045969536,0.16131963074960565,-0.3554167095116497,0.20647134980156,2174
-4,0.06398318991148934,0.1288482480622949,0.4965778803647767,0.6194867547557064,-0.14797217815098573,0.27593855797396444,-0.18855937629060865,0.3165257561135873,2175
-3,0.08033483077737198,0.25938364837627487,0.30971432193302434,0.7567782106329828,-0.3463512708016002,0.5070209323563442,-0.4280571200401268,0.5887267815948708,2176
-2,-0.021354795802573774,0.11694810713538659,-0.18260061086625456,0.8551114050002395,-0.2137344320402847,0.17102484043513716,-0.25057308578793147,0.20786349418278394,2177
-1,-0.18262957345558117,0.14275645574310117,-1.2793086834842278,0.20078837595903642,-0.41746394315298263,0.052204796241820256,-0.46243222671205947,0.09717307980089712,2177
0,0.24467893316368355,0.49958422201409974,0.4897651334488662,0.6243001057794149,-0.5771371120495106,1.0664949783768776,-0.734506141983952,1.223864008311319,2178
1,0.4227729362503704,0.4410794893052814,0.9584960228285732,0.3378126960377462,-0.30280282365681754,1.1483486961575582,-0.44174286278798114,1.287288735288722,2177
2,-0.0439301994796791,0.17133393445261347,-0.25640104291090715,0.7976411826417694,-0.3257745216542282,0.23791412269487003,-0.37974471100680146,0.2918843120474433,2176
3,0.240331661620378,0.35547623190238603,0.6760836310608053,0.49898754875044105,-0.34442673985904704,0.825090063099803,-0.45640175290829865,0.9370650761490547,2175
4,-0.2979176757837614,0.15220194338752818,-1.9573841775805703,0.05030231732453265,-0.5482898726562453,-0.04754547891127753,-0.5962334848233166,0.0003981332557938533,2174
5,-0.011746009474460983,0.26928650838632623,-0.04361900469818494,0.9652081025559704,-0.45472231576996763,0.4312302968210457,-0.5395475659116604,0.5160555469627384,2173
6,0.37789569140101786,0.4603526500136415,0.8208830586504059,0.4117128818097189,-0.3793844178714224,1.135175800673458,-0.5243955026257194,1.2801868854277552,2172
7,-0.13407609300114579,0.21357487562893343,-0.6277709051980935,0.5301540283909043,-0.4854067634107413,0.2172545774084497,-0.5526828492338554,0.28453066323156373,2171
8,0.11550779005279567,0.20722786920235,0.5573950574186852,0.5772575416869404,-0.22538205478507012,0.45639763489066143,-0.29065883358381034,0.5216744136894017,2170
9,0.4497159676561234,0.5156706176930975,0.8720992669079565,0.38315422605343497,-0.39856219844902196,1.2979941337612688,-0.5609984430223477,1.4604303783345944,2169
10,-0.11430182889526294,0.17985735553373314,-0.6355137856668034,0.525093378602877,-0.4101671787482539,0.18156352095772807,-0.46682224574137987,0.23821858795085402,2168
11,-0.15394496328750315,0.170486012598092,-0.9029770885099933,0.36653805495006564,-0.43439445401136456,0.12650452743635823,-0.48809754797976346,0.18020762140475718,2167
12,-0.0448238989399058,0.19235418876860025,-0.23302793262188018,0.8157397156637798,-0.3612465394642532,0.27159874158444164,-0.42183810892636225,0.33219031104655067,2166
13,-0.07140599473723129,0.25580165815251005,-0.27914594163677675,0.780132827485342,-0.49219972239811033,0.3493877329236477,-0.572777244716151,0.4299652552416884,2165
14,0.2832823285605592,0.3547226131222387,0.7986023954524125,0.42452099821804656,-0.30023637002552345,0.8668010271466418,-0.41197399315902866,0.978538650280147,2164
15,-0.13764602810531598,0.2271852174982981,-0.605875811908172,0.5445972224700333,-0.5113657108900164,0.23607365467938438,-0.5829290544019803,0.30763699819134827,2163
