horizon,beta,se,tstat,pval,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs
-5,0.9484547611917906,0.6353716292475458,1.492755920365883,0.13550108955491197,-0.09673156892042223,1.9936410913040035,-0.2968736321333991,2.1937831545169804,2174
-4,0.7522864229225869,0.5007317739676064,1.5023740494072466,0.13300053443605003,-0.07141734525412569,1.5759901910992995,-0.22914785405392157,1.7337206998990953,2175
-3,0.17639206212809455,0.13322375132004252,1.3240286388899911,0.18549353353993892,-0.04276100879337541,0.3955451330495645,-0.08472649045918879,0.4375106147153779,2176
-2,0.14208657690868576,0.10070331254094626,1.4109424340029821,0.15826158866638584,-0.023570372221170838,0.3077435260385424,-0.05529191567156891,0.3394650694889404,2177
-1,-0.1558356108263684,0.10193555419802924,-1.5287660135111252,0.12632246059036326,-0.3235195974821265,0.01184837582938969,-0.35562929705450574,0.04395807540176891,2177
0,0.3910745021273674,0.49099578184473563,0.7964925903396749,0.4257457805717164,-0.41661355900722274,1.1987625632619574,-0.5712772302883145,1.3534262345430492,2178
1,0.5860086550450705,0.44379692381216407,1.3204432559183243,0.18668706961466508,-0.14403728462593945,1.3160545947160804,-0.28383331562677105,1.455850625716912,2177
2,0.3729175709021977,0.42736075653870764,0.8726060247612397,0.3828778555531047,-0.3300908736039764,1.0759260154083718,-0.46470951191366927,1.2105446537180646,2176
3,0.19087990051936954,0.43956099214581335,0.4342512277705705,0.6641060166051316,-0.5321979315604934,0.9139577325992325,-0.6706596440864246,1.0524194451251638,2175
4,0.06688899424566766,0.4858047804594516,0.13768698237676286,0.8904878079640078,-0.7322598696101302,0.8660378581014655,-0.8852883754548575,1.0190663639461928,2174
5,0.018623550983077435,0.5157921653794192,0.03610669613288496,0.9711972830690742,-0.8298545610660671,0.867101663032222,-0.9923290931605842,1.029576195126739,2173
6,0.31135039350176896,0.6574309775227828,0.47358643590988886,0.6357948499344859,-0.7701235645232087,1.3928243515267467,-0.9772143224428853,1.5999151094464232,2172
7,0.15326902884146898,0.7548032689471605,0.20305824729039226,0.8390895056555985,-1.08838234857661,1.3949204062595482,-1.3261453782949655,1.6326834359779037,2171
8,0.13702187177909428,0.7438109382165279,0.184215994601583,0.8538440123294823,-1.086547121587094,1.3605908651452827,-1.3208475671253004,1.594891310683489,2170
9,0.17883535270934287,0.7210345771157378,0.24802604255778551,0.8041142571819069,-1.0072665266460459,1.3649372320647317,-1.2343924184375032,1.592063123856189,2169
10,-0.074190219104457,0.6864332313231077,-0.10808075092963451,0.913931637231644,-1.2033728846309693,1.0549924464220553,-1.4195993524977482,1.2712189142888342,2168
11,-0.11517824110959646,0.7391865929110566,-0.15581754622469918,0.8761768396695475,-1.3311401864482846,1.1007837042290916,-1.5639839632152674,1.3336274809960744,2167
12,-0.1918026204518531,0.7222120869313033,-0.26557658605081935,0.7905653198340197,-1.3798415034538472,0.9962362625501411,-1.6073383108372075,1.2237330699335014,2166
13,0.07866807888789448,0.7237735538606537,0.10869156308388722,0.9134471338918769,-1.111939417212881,1.2692755749886697,-1.3399280866789869,1.4972642444547757,2165
14,-0.006963817891008972,0.778440714658881,-0.008945855169022824,0.9928623354801408,-1.2874987935048683,1.2735711577228503,-1.5327076186224158,1.5187799828403978,2164
15,-0.10768603653268205,0.8359471296369049,-0.1288191952754903,0.8975007164485771,-1.4828190647853905,1.2674469917200266,-1.7461424106210157,1.5307703375556514,2163
